Centrality Metric,Spearmans R Statistic,P-Value
Out-Degree Centrality,0.4909876733135761,2.3029624652599976e-21
Closeness Centrality,0.042205996596506486,0.44547903954207324
Betweenness Centrality,0.30409303119488856,1.816713655127298e-08
PageRank Centrality,0.5658370517706685,3.0631817211168085e-29
CON Score,0.38374358114024537,5.515046128796777e-13
