,Model,Accuracy,Precision,Recall,F1-Score
0,GradientBoostingClassifier,0.8445945945945946,0.7123655913978495,0.6440677966101696,0.6734006734006733
1,DecisionTreeClassifier,0.7635135135135135,0.6075306075306075,0.6295668549905837,0.609615517912461
2,RandomForestClassifier,0.777027027027027,0.6393547455494358,0.635216572504708,0.631917631917632
3,SupportVectorClassifier-LINEAR,0.5067567567567568,0.553125,0.5998116760828625,0.49463626299326097
4,XGBClassifier,0.7905405405405406,0.6152777777777777,0.5826741996233521,0.5963742725286052
