"version","match_id","leagueid","start_date_time","duration","cluster","replay_salt","radiant_win","pre_game_duration","match_seq_num","tower_status_radiant","tower_status_dire","barracks_status_radiant","barracks_status_dire","first_blood_time","lobby_type","human_players","game_mode","flags","engine","radiant_score","dire_score","radiant_team_id","radiant_logo","radiant_team_complete","dire_team_id","dire_logo","dire_team_complete","radiant_captain","dire_captain","patch","region","throw","loss","comeback","stomp","replay_url","series_id","series_type"
21.0,7875416182,16059,"2024-08-01 09:39:11",1722,271,1355504872.0,True,90,6627039580,"'0000011110110111'","'0000011000110000'","'00111111'","'00001111'",336,1,10,2,5,1,37,19,8629005.0,1.9720440230379745e+18,1.0,8629324.0,2.518145430787228e+18,1.0,928499811.0,1194935883.0,55,3.0,687.0,15188.0,"","","http://replay271.valve.net/570/7875416182_1355504872.dem.bz2",894946.0,1.0
21.0,7875426649,15901,"2024-08-01 09:47:47",1848,273,365600907.0,False,90,6627056421,"'0000011100000000'","'0000011110110110'","'00110000'","'00111111'",139,1,10,2,5,1,28,52,9487084.0,2.4900112478414147e+18,0.0,9481730.0,2.4956403785606845e+18,0.0,1732573798.0,895486980.0,55,3.0,"","",58.0,16249.0,"http://replay273.valve.net/570/7875426649_365600907.dem.bz2",894953.0,1.0
21.0,7875434327,16312,"2024-08-01 09:54:38",1932,274,1169639310.0,True,90,6627058698,"'0000011000100110'","'0000011111000100'","'00111111'","'00110011'",298,1,10,2,5,1,26,21,8893837.0,1.9990664418614085e+18,0.0,9332059.0,2.4900062662298813e+18,1.0,1526386891.0,1669038778.0,55,3.0,1155.0,7404.0,"","","http://replay274.valve.net/570/7875434327_1169639310.dem.bz2",894954.0,1.0
21.0,7875445798,15898,"2024-08-01 10:05:47",2928,274,584341046.0,True,90,6627085395,"'0000011000000000'","'0000011110100100'","'00001110'","'00111111'",351,1,10,2,5,1,24,25,9366989.0,2.503520317052255e+18,1.0,9271759.0,2.297461440058923e+18,1.0,117514269.0,910028605.0,55,3.0,4381.0,5559.0,"","","http://replay274.valve.net/570/7875445798_584341046.dem.bz2",894948.0,1.0
21.0,7875463420,16059,"2024-08-01 10:23:29",1531,272,642481126.0,True,90,6627077753,"'0000011110111111'","'0000011111100110'","'00111111'","'00111111'",238,1,10,2,5,1,33,15,8629318.0,2.50801811205341e+18,1.0,8629014.0,2.0362241225902515e+18,1.0,1252616081.0,948659765.0,55,3.0,1021.0,13967.0,"","","http://replay272.valve.net/570/7875463420_642481126.dem.bz2",894956.0,1.0
21.0,7875466852,16708,"2024-08-01 10:30:13",2415,153,1721456049.0,True,90,6627103897,"'0000011111111111'","'0000000000000000'","'00111111'","'00000000'",60,1,10,2,5,1,34,12,9449931.0,3140203579104.0,0.0,9394949.0,2.5080154996517217e+18,0.0,153727297.0,100406744.0,55,5.0,136.0,19790.0,"","","http://replay153.valve.net/570/7875466852_1721456049.dem.bz2",894957.0,1.0
21.0,7875490303,16312,"2024-08-01 10:46:09",1895,272,1818301880.0,False,90,6627105497,"'0000000100000110'","'0000011110100100'","'00110011'","'00111111'",0,1,10,2,5,1,33,40,9332059.0,2.4900062662298813e+18,1.0,8893837.0,1.9990664418614085e+18,0.0,1669990410.0,1526386891.0,55,3.0,"","",78.0,11305.0,"http://replay272.valve.net/570/7875490303_1818301880.dem.bz2",894954.0,1.0
21.0,7875492180,15901,"2024-08-01 10:47:44",1881,273,484755424.0,True,90,6627103871,"'0000011110110111'","'0000011110100000'","'00111111'","'00111101'",31,1,10,2,5,1,61,31,9481730.0,2.4956403785606845e+18,0.0,9487084.0,2.4900112478414147e+18,0.0,1707731674.0,1029972951.0,55,3.0,323.0,12382.0,"","","http://replay273.valve.net/570/7875492180_484755424.dem.bz2",894953.0,1.0
21.0,7875505240,16953,"2024-08-01 11:00:25",1708,273,1535761087.0,False,90,6627118267,"'0000011100000000'","'0000011111111110'","'00110000'","'00111111'",195,1,10,2,5,1,10,43,9303665.0,2.4618531532972017e+18,0.0,9360651.0,2.5237780983244155e+18,1.0,195415954.0,171097887.0,55,3.0,"","",0.0,21712.0,"http://replay273.valve.net/570/7875505240_1535761087.dem.bz2",894958.0,1.0
21.0,7875512306,16059,"2024-08-01 11:07:25",1611,273,768222646.0,False,90,6627116313,"'0000011110000111'","'0000011111110110'","'00111111'","'00111111'",129,1,10,2,5,1,31,39,8629014.0,2.0362241225902515e+18,1.0,8629318.0,2.50801811205341e+18,1.0,948659765.0,1247011173.0,55,3.0,"","",4085.0,8799.0,"http://replay273.valve.net/570/7875512306_768222646.dem.bz2",894956.0,1.0
