leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win,start_date_time
16635,7967560450,8987220.0,HolyTeam,HT,35,8849817.0,ZEUS THUNDER GOD,ZTG,34,True,2024-10-01 00:29:07
16635,7967584083,8849817.0,ZEUS THUNDER GOD,ZTG,36,8987220.0,HolyTeam,HT,34,True,2024-10-01 01:15:37
16312,7967684395,8893837.0,Parallel eSports,PeS,24,9018543.0,Hustlers,HS,31,False,2024-10-01 04:01:15
17233,7967703063,8629318.0,Mad Monkeys,Mm,28,9425656.0,LSG,LSG,41,False,2024-10-01 04:33:26
16312,7967713514,9018543.0,Hustlers,HS,22,8893837.0,Parallel eSports,PeS,36,False,2024-10-01 04:49:37
17233,7967727451,9425656.0,LSG,LSG,38,8629318.0,Mad Monkeys,Mm,35,True,2024-10-01 05:13:04
16312,7967737731,8893837.0,Parallel eSports,PeS,42,9018543.0,Hustlers,HS,28,True,2024-10-01 05:27:30
17233,7967753193,8629315.0,Wiser Warriors,WW,37,8629324.0,Swift Knights,Sk,42,False,2024-10-01 05:50:34
16312,7967774669,9332046.0,Dominatrix,DMX,44,9330489.0,ThunderLab,TL,36,True,2024-10-01 06:20:55
17233,7967781486,8629324.0,Swift Knights,Sk,23,8629315.0,Wiser Warriors,WW,41,False,2024-10-01 06:30:27
15901,7967790950,9530233.0,Dominion,Dominion,29,8965054.0,EYE-Gaming,EYE,39,True,2024-10-01 06:45:51
17233,7967807022,8629315.0,Wiser Warriors,WW,24,8629324.0,Swift Knights,Sk,27,False,2024-10-01 07:05:04
16312,7967813006,9330489.0,ThunderLab,TL,35,9332046.0,Dominatrix,DMX,29,True,2024-10-01 07:12:17
17233,7967842944,8629317.0,Bright Crusaders,Bc,56,8629014.0,Dragon Blood,DB,23,True,2024-10-01 07:50:15
16312,7967849929,9332046.0,Dominatrix,DMX,36,9330489.0,ThunderLab,TL,35,True,2024-10-01 07:57:41
15901,7967862409,8965054.0,EYE-Gaming,EYE,22,9530233.0,Dominion,Dominion,45,False,2024-10-01 08:12:13
16312,7967894007,8893840.0,Big Bang Gaming,BB,30,8864178.0,Marvelous Warriors,MW,43,False,2024-10-01 08:48:46
15898,7967899794,9403748.0,Dragon Esports Club,DEC,29,9278328.0,V1dar Gaming,V1dar,17,True,2024-10-01 09:03:21
17233,7967901309,8629014.0,Dragon Blood,DB,20,8629317.0,Bright Crusaders,Bc,29,False,2024-10-01 08:57:52
16312,7967930126,8864178.0,Marvelous Warriors,MW,54,8893840.0,Big Bang Gaming,BB,50,True,2024-10-01 09:30:04
16059,7967942413,8629005.0,Flawless Goblins,Fg,34,9425660.0,Shadow Avengers,SAS,29,True,2024-10-01 09:46:33
15898,7967964241,9278328.0,V1dar Gaming,V1dar,15,9403748.0,Dragon Esports Club,DEC,28,False,2024-10-01 10:08:20
16312,7967981358,9332084.0,Lighting Legends,LL,9,9018528.0,Crew X,CrX,37,False,2024-10-01 10:26:55
16059,7967985073,9425660.0,Shadow Avengers,SAS,29,8629005.0,Flawless Goblins,Fg,26,True,2024-10-01 10:31:35
15901,7967991374,9545682.0,Dominion,Dominion,47,9530867.0,Prodigy of God,,36,True,2024-10-01 10:37:35
16312,7968012574,9018528.0,Crew X,CrX,24,9332084.0,Lighting Legends,LL,42,False,2024-10-01 10:59:13
16059,7968024099,8629005.0,Flawless Goblins,Fg,37,9425660.0,Shadow Avengers,SAS,32,True,2024-10-01 11:11:15
15901,7968055716,9530867.0,Prodigy of God,,45,9545682.0,Dominion,Dominion,24,True,2024-10-01 11:39:47
16312,7968068749,9332084.0,Lighting Legends,LL,14,9018528.0,Crew X,CrX,34,False,2024-10-01 11:50:59
16059,7968081669,9426115.0,Dark Rebellion,DR,18,9425660.0,Shadow Avengers,SAS,29,False,2024-10-01 12:05:31
15898,7968087576,9554758.0,,,38,9256405.0,Level UP esports,LevelUP,41,False,2024-10-01 12:07:50
15901,7968118223,9545682.0,Dominion,Dominion,59,9511702.0,Prodigy of God,,58,False,2024-10-01 12:31:52
16059,7968138287,9425660.0,Shadow Avengers,SAS,32,9426115.0,Dark Rebellion,DR,22,True,2024-10-01 12:46:02
16059,7968197610,8629317.0,Bright Crusaders,Bc,25,8629315.0,Wiser Warriors,WW,42,False,2024-10-01 13:26:51
15898,7968203708,9554758.0,,,29,9256405.0,Level UP esports,LevelUP,38,False,2024-10-01 13:30:26
16059,7968254268,8629315.0,Wiser Warriors,WW,29,8629317.0,Bright Crusaders,Bc,48,False,2024-10-01 14:02:51
15901,7968302299,9492941.0,Shinigami Gaming,,47,9444453.0,Elite Eclipse,EE,10,True,2024-10-01 14:33:41
16059,7968330625,8629317.0,Bright Crusaders,Bc,22,8629315.0,Wiser Warriors,WW,45,False,2024-10-01 14:51:01
15898,7968341538,9216247.0,ASAKURA,ASAKURA,40,9511706.0,TopTab,TopTab,30,True,2024-10-01 15:00:20
15901,7968387384,9444453.0,Elite Eclipse,EE,15,9492941.0,Shinigami Gaming,,28,False,2024-10-01 15:24:28
16059,7968396940,8629324.0,Swift Knights,Sk,17,9425656.0,LSG,LSG,26,False,2024-10-01 15:31:04
16059,7968453342,9425656.0,LSG,LSG,25,8629324.0,Swift Knights,Sk,36,False,2024-10-01 16:05:54
15898,7968497618,9511706.0,TopTab,TopTab,12,9216247.0,ASAKURA,ASAKURA,29,False,2024-10-01 16:33:14
16059,7968519822,8629324.0,Swift Knights,Sk,19,9425656.0,LSG,LSG,36,False,2024-10-01 16:48:03
15901,7968558886,9440022.0,Elite Eclipse,EE,45,9511702.0,Prodigy of God,,55,False,2024-10-01 17:13:12
15901,7968636857,9223797.0,Prodigy of God,,43,9545569.0,Elite Eclipse,EE,32,True,2024-10-01 18:07:42
16635,7968713037,8849837.0,FALL VICTIMS,FV,25,8849990.0,REAL ECLIPSE,RE,20,True,2024-10-01 19:01:32
15901,7968720290,9530233.0,Dominion,Dominion,52,9492941.0,Shinigami Gaming,,30,True,2024-10-01 19:09:13
16635,7968764002,8849990.0,REAL ECLIPSE,RE,29,8849837.0,FALL VICTIMS,FV,17,True,2024-10-01 19:41:08
15901,7968809430,9492941.0,Shinigami Gaming,,22,9530233.0,Dominion,Dominion,46,False,2024-10-01 20:20:26
16635,7968817990,8849837.0,FALL VICTIMS,FV,51,8849990.0,REAL ECLIPSE,RE,17,True,2024-10-01 20:29:35
16635,7968861815,8987220.0,HolyTeam,HT,27,8970060.0,Moonwalkers,MW,14,True,2024-10-01 21:19:02
16635,7968889618,8970060.0,Moonwalkers,MW,52,8987220.0,HolyTeam,HT,39,True,2024-10-01 21:59:10
16635,7968916703,8987220.0,HolyTeam,HT,26,8970060.0,Moonwalkers,MW,38,False,2024-10-01 22:46:21
16635,7968942290,8849833.0,VERTEX PACK,vP,22,8849817.0,ZEUS THUNDER GOD,ZTG,15,True,2024-10-01 23:36:57
16635,7968961331,8849817.0,ZEUS THUNDER GOD,ZTG,15,8849833.0,VERTEX PACK,vP,16,False,2024-10-02 00:20:26
16635,7968981965,8957156.0,Silent killer,sK,27,8850016.0,FLYING FORTUNE,Ff,36,False,2024-10-02 01:01:29
16635,7969011423,8850016.0,FLYING FORTUNE,Ff,24,8957156.0,Silent killer,sK,38,False,2024-10-02 01:55:42
16635,7969037193,8957156.0,Silent killer,sK,27,8850016.0,FLYING FORTUNE,Ff,30,False,2024-10-02 02:40:23
16059,7969060152,8629014.0,Dragon Blood,DB,22,8629324.0,Swift Knights,Sk,16,True,2024-10-02 03:17:01
16059,7969082955,8629324.0,Swift Knights,Sk,22,8629014.0,Dragon Blood,DB,23,False,2024-10-02 03:55:14
16059,7969090800,8629317.0,Bright Crusaders,Bc,26,8629318.0,Mad Monkeys,Mm,41,False,2024-10-02 04:09:29
16312,7969092043,9330493.0,RuleBreakers,RB,15,9330492.0,Iconic,ICo,31,False,2024-10-02 04:10:34
16059,7969112839,9425656.0,LSG,LSG,32,2443375.0,Foxy gaming,Foxy,50,False,2024-10-02 04:44:40
16059,7969120649,8629318.0,Mad Monkeys,Mm,33,8629317.0,Bright Crusaders,Bc,25,True,2024-10-02 04:59:40
16312,7969122410,9330492.0,Iconic,ICo,44,9330493.0,RuleBreakers,RB,29,True,2024-10-02 05:00:11
16059,7969146569,2443375.0,Foxy gaming,Foxy,20,9425656.0,LSG,LSG,16,True,2024-10-02 05:39:04
16059,7969150890,9426115.0,Dark Rebellion,DR,33,8629315.0,Wiser Warriors,WW,23,True,2024-10-02 05:46:55
16312,7969151666,8961813.0,SHAOLIN,SHN,37,9332059.0,Ninja Bros,N,37,True,2024-10-02 05:46:19
15901,7969163197,9395676.0,Shinigami gaming,Shin,28,9395797.0,Prodigy of God ,POG,6,True,2024-10-02 06:04:05
16059,7969173590,8629318.0,Mad Monkeys,Mm,33,9425660.0,Shadow Avengers,SAS,24,True,2024-10-02 06:19:37
16312,7969185685,9332059.0,Ninja Bros,N,41,8961813.0,SHAOLIN,SHN,35,True,2024-10-02 06:38:35
16059,7969190934,8629315.0,Wiser Warriors,WW,42,9426115.0,Dark Rebellion,DR,31,True,2024-10-02 06:46:09
15901,7969197987,9395797.0,Prodigy of God ,POG,55,9395676.0,Shinigami gaming,Shin,51,True,2024-10-02 06:55:26
16059,7969211059,9425660.0,Shadow Avengers,SAS,27,8629318.0,Mad Monkeys,Mm,41,False,2024-10-02 07:12:38
16312,7969219193,8961813.0,SHAOLIN,SHN,23,9332059.0,Ninja Bros,N,28,False,2024-10-02 07:23:02
16059,7969220892,9426115.0,Dark Rebellion,DR,29,8629315.0,Wiser Warriors,WW,15,True,2024-10-02 07:27:10
15901,7969253507,9395676.0,Shinigami gaming,Shin,34,9555316.0,Prodigy Of God,POG,13,True,2024-10-02 08:05:15
16312,7969257680,8936507.0,FenixTeam,FT,54,8893825.0,Lucky Bulldogs,LB,36,True,2024-10-02 08:10:16
16059,7969259792,8629014.0,Dragon Blood,DB,15,8629005.0,Flawless Goblins,Fg,37,False,2024-10-02 08:14:08
