leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win
14904,6951968541,,,,14,,,,56,False
14894,6951974320,,,,26,,,,43,False
14659,6951976810,,,,36,,,,42,True
14894,6952011838,,,,48,,,,27,True
14904,6952019447,,,,28,,,,36,False
14659,6952025797,,,,26,,,,39,False
14894,6952047723,,,,29,,,,23,True
14870,6952060287,,,,29,,,,22,True
14659,6952063945,,,,33,,,,39,False
14904,6952069915,,,,12,,,,26,False
14894,6952082978,,,,38,,,,53,False
14659,6952104974,,,,24,,,,21,True
14870,6952105477,,,,38,,,,55,False
14904,6952115321,,,,14,,,,31,False
14894,6952132802,,,,57,,,,40,True
14659,6952148372,,,,43,,,,19,True
14870,6952170135,,,,37,,,,31,True
14565,6952171394,,,,59,,,,18,True
14904,6952173431,,,,36,,,,70,False
14894,6952189425,,,,52,,,,46,True
14659,6952194483,,,,46,,,,18,True
14565,6952227514,,,,44,,,,22,True
14870,6952228703,,,,46,,,,30,True
14904,6952235933,,,,54,,,,21,True
14894,6952242387,,,,28,,,,34,False
14659,6952249769,,,,35,,,,20,True
14565,6952282611,,,,34,,,,51,False
14894,6952294179,,,,28,,,,43,False
14659,6952304309,,,,36,,,,15,True
14894,6952349839,,,,18,,,,35,False
14659,6952363511,,,,39,,,,38,False
14565,6952364957,,,,23,,,,60,False
14894,6952415680,,,,37,,,,33,False
14565,6952442920,,,,23,,,,43,False
14565,6952528420,,,,42,,,,62,False
14913,6952540930,,,,31,,,,18,True
14913,6952650906,,,,56,,,,61,False
14565,6952660097,,,,30,,,,35,False
14565,6952760390,,,,41,,,,12,True
14913,6952855537,,,,30,,,,12,True
14664,6952880972,,,,11,,,,40,False
14850,6952936792,,,,26,,,,39,False
14913,6952958122,,,,48,,,,25,True
14664,6952971947,,,,38,,,,7,True
14850,6953009143,,,,26,,,,38,False
14664,6953056679,,,,32,,,,30,False
14913,6953070862,,,,45,,,,10,True
14850,6953127711,,,,37,,,,17,True
14664,6953162816,,,,39,,,,15,True
14850,6953203385,,,,38,,,,47,False
14664,6953263856,,,,41,,,,23,True
14850,6953304712,,,,32,,,,16,True
14664,6953334902,,,,29,,,,29,False
14850,6953378662,,,,23,,,,39,False
14800,6953549694,,,,52,,,,55,True
14800,6953593685,,,,23,,,,42,False
14904,6953617612,,,,38,,,,21,True
14894,6953619353,,,,11,,,,26,False
14659,6953622577,,,,14,,,,30,False
14894,6953647827,,,,11,,,,29,False
14659,6953658672,,,,44,,,,19,True
14904,6953665714,,,,27,,,,19,True
14894,6953674895,,,,34,,,,47,False
14800,6953695598,,,,47,,,,33,True
14659,6953698871,,,,23,,,,30,False
14904,6953704067,,,,27,,,,13,True
14870,6953706291,,,,37,,,,52,False
14894,6953718964,,,,49,,,,24,True
14800,6953730758,,,,38,,,,53,False
14659,6953739618,,,,25,,,,42,False
14894,6953756721,,,,22,,,,50,False
14904,6953759278,,,,19,,,,3,True
14870,6953764303,,,,35,,,,39,False
14659,6953774137,,,,23,,,,40,False
14859,6953791169,,,,23,,,,12,True
14894,6953798365,,,,33,,,,33,False
14659,6953825332,,,,28,,,,43,False
14870,6953827482,,,,12,,,,38,False
14894,6953844523,,,,54,,,,29,True
14859,6953857134,,,,26,,,,24,True
14659,6953885536,,,,16,,,,40,False
14870,6953895005,,,,25,,,,28,True
14894,6953895119,,,,40,,,,22,True
14565,6953935375,,,,30,,,,31,True
14659,6953935998,,,,24,,,,36,False
14894,6953948975,,,,37,,,,37,False
14565,6953958406,,,,39,,,,14,True
14859,6953988109,,,,1,,,,26,False
14659,6953992135,,,,32,,,,29,True
14565,6954010533,,,,66,,,,25,True
14565,6954010806,,,,45,,,,45,False
14859,6954044154,,,,31,,,,6,True
14659,6954061250,,,,36,,,,49,False
14565,6954090237,,,,37,,,,45,True
14565,6954137829,,,,21,,,,31,False
14913,6954180921,,,,41,,,,23,True
14565,6954214053,,,,46,,,,21,True
14565,6954243511,,,,30,,,,23,True
14565,6954330657,,,,18,,,,54,False
14913,6954355925,,,,34,,,,23,True
14565,6954366014,,,,41,,,,52,False
14565,6954453761,,,,33,,,,37,False
14913,6954466361,,,,26,,,,53,False
14565,6954501627,,,,36,,,,24,True
14664,6954526815,,,,17,,,,33,False
14565,6954552166,,,,47,,,,30,True
14850,6954579074,,,,35,,,,25,True
14913,6954587344,,,,6,,,,31,False
14565,6954608331,,,,30,,,,58,False
14664,6954627745,,,,28,,,,19,True
14913,6954677235,,,,21,,,,41,False
14565,6954678017,,,,24,,,,50,False
14565,6954686414,,,,47,,,,32,True
14850,6954706498,,,,41,,,,37,False
14664,6954719167,,,,8,,,,33,False
14565,6954742892,,,,49,,,,25,True
14913,6954768860,,,,16,,,,10,True
14565,6954783062,,,,0,,,,0,True
14565,6954806940,,,,44,,,,24,True
14664,6954815989,,,,29,,,,30,False
14565,6954853907,,,,50,,,,47,False
14913,6954855313,,,,36,,,,16,True
14850,6954855522,,,,43,,,,50,False
14664,6954911712,,,,21,,,,28,False
14913,6954939942,,,,27,,,,24,True
14664,6954991018,,,,39,,,,18,True
14850,6954996397,,,,46,,,,18,True
14664,6955040396,,,,38,,,,37,True
14664,6955085445,,,,5,,,,22,False
14800,6955228647,,,,26,,,,33,False
