leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win
13809,6352676609,,,,46,,,,44,True
13809,6352756468,,,,33,,,,42,False
13809,6352858977,,,,37,,,,32,True
13809,6352935007,,,,23,,,,41,False
13809,6353012535,,,,30,,,,11,True
13809,6354529515,,,,47,,,,42,True
13809,6354588921,,,,48,,,,56,False
13809,6354662324,,,,24,,,,40,False
13809,6354733640,,,,17,,,,24,False
13809,6354826241,,,,16,,,,37,False
13690,6354898679,,,,40,,,,8,True
13809,6354898866,,,,34,,,,23,True
13690,6354904905,,,,38,,,,38,False
13690,6354964985,,,,21,,,,56,False
13809,6354979242,,,,41,,,,15,True
13690,6354988421,,,,0,,,,0,True
13690,6355050795,,,,35,,,,25,True
13809,6355058171,,,,48,,,,36,False
13690,6355111167,,,,59,,,,44,True
13690,6355131721,,,,25,,,,47,False
13690,6355217286,,,,31,,,,74,False
13690,6355268433,,,,44,,,,29,True
13690,6355351264,,,,25,,,,47,False
13690,6355385097,,,,59,,,,50,False
13690,6355469199,,,,28,,,,53,False
13690,6355601313,,,,30,,,,30,True
13690,6355694304,,,,33,,,,15,True
13690,6355776972,,,,36,,,,23,True
13690,6355860286,,,,57,,,,64,True
13690,6355970691,,,,27,,,,63,False
13796,6356452695,,,,33,,,,24,True
13754,6356461217,,,,25,,,,42,False
13716,6356495774,,,,32,,,,18,True
13796,6356502447,,,,23,,,,44,False
13809,6356505336,,,,0,,,,0,False
13754,6356523773,,,,11,,,,40,False
13809,6356528276,,,,26,,,,39,False
13716,6356555723,,,,40,,,,16,True
13796,6356559381,,,,25,,,,29,False
13809,6356579087,,,,15,,,,46,False
13754,6356580716,,,,0,,,,0,True
13796,6356613747,,,,30,,,,33,True
13754,6356615027,,,,43,,,,50,False
13809,6356652615,,,,29,,,,46,False
13796,6356681217,,,,47,,,,21,True
13716,6356694527,,,,18,,,,50,False
13754,6356712580,,,,33,,,,42,False
13796,6356744331,,,,34,,,,17,True
13809,6356771212,,,,37,,,,37,True
13716,6356788698,,,,19,,,,22,False
13754,6356795714,,,,37,,,,20,True
13796,6356804115,,,,38,,,,26,True
13809,6356843253,,,,38,,,,12,True
13690,6356855174,,,,57,,,,41,True
13690,6356860776,,,,27,,,,19,True
13716,6356868459,,,,28,,,,33,True
13754,6356869701,,,,33,,,,34,False
13796,6356876024,,,,22,,,,36,False
13809,6356905268,,,,36,,,,28,True
13690,6356934270,,,,54,,,,24,True
13690,6356943847,,,,27,,,,49,False
13690,6357024986,,,,45,,,,49,False
13690,6357032955,,,,36,,,,38,False
13690,6357135752,,,,46,,,,22,True
13690,6357144453,,,,24,,,,54,False
13690,6357255787,,,,13,,,,39,False
13690,6357304033,,,,38,,,,65,False
13690,6357345178,,,,34,,,,6,True
13690,6357432168,,,,54,,,,37,True
13690,6357468604,,,,12,,,,29,False
13690,6357533941,,,,38,,,,55,False
13690,6357537354,,,,42,,,,43,True
13690,6357627758,,,,43,,,,60,False
13690,6357660698,,,,43,,,,34,True
13690,6357718541,,,,37,,,,40,True
13690,6357753263,,,,50,,,,41,True
13690,6357833066,,,,37,,,,39,False
13754,6358315988,,,,19,,,,38,False
13796,6358326114,,,,26,,,,30,False
13716,6358357207,,,,25,,,,27,False
13796,6358366404,,,,31,,,,20,True
13754,6358367101,,,,23,,,,23,False
13796,6358415153,,,,24,,,,32,False
13716,6358419678,,,,29,,,,22,True
13754,6358426214,,,,41,,,,29,True
13796,6358465212,,,,20,,,,31,False
13809,6358473567,,,,30,,,,43,False
13754,6358477739,,,,23,,,,44,False
13716,6358480733,,,,7,,,,27,False
13796,6358512030,,,,16,,,,37,False
13716,6358546206,,,,9,,,,29,False
13809,6358557448,,,,12,,,,21,False
13754,6358558330,,,,27,,,,34,False
13796,6358566659,,,,23,,,,29,False
13716,6358593165,,,,31,,,,15,True
13796,6358613426,,,,25,,,,29,True
13809,6358619065,,,,28,,,,8,True
13754,6358630388,,,,49,,,,37,True
13690,6358642676,,,,60,,,,26,True
13690,6358654344,,,,46,,,,35,True
13796,6358672402,,,,39,,,,25,True
13690,6358702015,,,,42,,,,41,True
13716,6358711063,,,,23,,,,12,True
13809,6358715986,,,,44,,,,19,True
13690,6358738800,,,,17,,,,37,False
13796,6358744218,,,,20,,,,37,False
13809,6358784768,,,,11,,,,41,False
13690,6358798034,,,,46,,,,19,True
13716,6358802844,,,,16,,,,9,True
13690,6358828419,,,,27,,,,20,True
13690,6358896791,,,,27,,,,10,True
13716,6358900044,,,,0,,,,0,True
13716,6358912024,,,,36,,,,42,True
13690,6358926537,,,,23,,,,40,False
13690,6358986135,,,,21,,,,42,False
13690,6359038630,,,,44,,,,30,True
13690,6359091217,,,,45,,,,22,True
13379,6359131397,,,,14,,,,34,False
13690,6359145433,,,,38,,,,38,False
13690,6359186006,,,,58,,,,42,True
13379,6359236953,,,,37,,,,41,False
13690,6359282096,,,,36,,,,57,False
13379,6359435472,,,,26,,,,10,True
13379,6359514434,,,,15,,,,32,False
13379,6359601410,,,,36,,,,16,True
13796,6360082167,,,,24,,,,31,False
13754,6360084462,,,,2,,,,1,False
13796,6360118715,,,,0,,,,0,True
13796,6360121199,,,,16,,,,32,False
13754,6360122751,,,,22,,,,20,True
13809,6360134190,,,,19,,,,45,False
13796,6360157619,,,,29,,,,33,False
13754,6360162926,,,,34,,,,53,False
13809,6360194683,,,,10,,,,26,False
13796,6360198544,,,,21,,,,13,True
13754,6360229577,,,,13,,,,21,False
13796,6360233997,,,,11,,,,31,False
13809,6360236144,,,,22,,,,48,False
13747,6360261162,,,,26,,,,4,True
13796,6360276564,,,,25,,,,23,True
13754,6360288735,,,,24,,,,28,False
13809,6360301429,,,,40,,,,19,True
13796,6360325911,,,,17,,,,34,False
13747,6360326298,,,,29,,,,17,True
13754,6360350971,,,,39,,,,9,True
13809,6360356286,,,,24,,,,6,True
13796,6360376935,,,,28,,,,23,True
13809,6360401474,,,,27,,,,22,True
13690,6360402245,,,,38,,,,38,False
13747,6360403640,,,,27,,,,18,True
13690,6360408177,,,,25,,,,11,True
13754,6360410272,,,,40,,,,15,True
13796,6360424738,,,,38,,,,19,True
13690,6360468516,,,,43,,,,55,False
13796,6360473245,,,,16,,,,27,False
13690,6360475499,,,,46,,,,32,True
13747,6360499298,,,,16,,,,33,False
13809,6360509924,,,,36,,,,22,True
13690,6360540046,,,,40,,,,29,True
13690,6360553006,,,,12,,,,40,False
13747,6360597795,,,,32,,,,21,True
13809,6360612265,,,,32,,,,39,False
13690,6360620878,,,,42,,,,15,True
13690,6360653090,,,,26,,,,45,False
13690,6360705051,,,,52,,,,53,False
13738,6360742572,,,,18,,,,39,False
13690,6360750880,,,,35,,,,29,True
13690,6360834235,,,,44,,,,55,False
13379,6360862337,,,,11,,,,33,False
13738,6360871966,,,,12,,,,34,False
13690,6360876255,,,,48,,,,24,True
13690,6360937298,,,,44,,,,24,True
13379,6360965037,,,,42,,,,24,True
13690,6360997620,,,,30,,,,49,False
13740,6361059892,,,,38,,,,41,True
13379,6361166273,,,,21,,,,43,False
13740,6361196961,,,,16,,,,39,False
13379,6361260955,,,,17,,,,32,False
13740,6361291111,,,,21,,,,11,True
13741,6361389582,,,,31,,,,43,False
13741,6361508418,,,,32,,,,12,True
13740,6361522944,,,,12,,,,42,False
13741,6361580107,,,,35,,,,22,True
13741,6361646997,,,,33,,,,42,False
13741,6361717819,,,,40,,,,22,True
13754,6361837387,,,,33,,,,17,True
13796,6361844771,,,,14,,,,28,False
13748,6361879958,,,,17,,,,21,False
13796,6361883167,,,,33,,,,27,True
13754,6361897938,,,,37,,,,16,True
13796,6361926388,,,,24,,,,34,False
13748,6361945572,,,,29,,,,3,True
13754,6361947673,,,,0,,,,0,False
13754,6361965240,,,,5,,,,37,False
13796,6361967623,,,,17,,,,36,False
13796,6362007844,,,,24,,,,34,False
13754,6362019112,,,,15,,,,30,False
13748,6362040703,,,,33,,,,56,False
13809,6362048400,,,,22,,,,54,False
13796,6362054654,,,,39,,,,24,True
13754,6362080477,,,,27,,,,50,False
13809,6362102857,,,,32,,,,23,True
13796,6362105191,,,,25,,,,37,False
13748,6362126886,,,,33,,,,13,True
13796,6362155264,,,,31,,,,21,True
13754,6362171080,,,,51,,,,20,True
13796,6362211869,,,,33,,,,46,False
13747,6362240841,,,,28,,,,38,False
13710,6362240900,,,,34,,,,33,False
13809,6362268147,,,,43,,,,16,True
13690,6362339324,,,,47,,,,43,True
13690,6362351115,,,,22,,,,42,False
13809,6362366055,,,,12,,,,35,False
13747,6362375332,,,,24,,,,37,False
13710,6362388295,,,,27,,,,47,False
13690,6362435912,,,,0,,,,0,False
13690,6362443192,,,,48,,,,25,True
13690,6362456308,,,,38,,,,20,True
13747,6362508065,,,,28,,,,16,True
13831,6362513052,,,,0,,,,0,True
13831,6362518267,,,,16,,,,39,False
13710,6362523961,,,,8,,,,29,False
13690,6362537051,,,,44,,,,27,True
13831,6362598368,,,,28,,,,9,True
13690,6362657424,,,,47,,,,27,True
13690,6362661563,,,,37,,,,12,True
13709,6362662278,,,,11,,,,21,False
13379,6362670285,,,,20,,,,4,True
13690,6362754993,,,,34,,,,55,False
13690,6362756531,,,,0,,,,0,False
13709,6362760250,,,,25,,,,35,False
13690,6362782538,,,,27,,,,43,False
13713,6362861405,,,,27,,,,5,True
13690,6362862516,,,,39,,,,18,True
13690,6362877785,,,,61,,,,28,True
13379,6362882391,,,,17,,,,2,True
13709,6362899123,,,,54,,,,24,True
13690,6362936159,,,,12,,,,42,False
13690,6362965970,,,,37,,,,88,False
13713,6362975261,,,,6,,,,30,False
13379,6362987229,,,,44,,,,21,True
13709,6363041036,,,,19,,,,11,True
13379,6363094046,,,,28,,,,44,False
13713,6363133005,,,,31,,,,23,True
13709,6363135269,,,,30,,,,12,True
13713,6363256158,,,,33,,,,29,False
13712,6363385036,,,,38,,,,25,True
13712,6363467116,,,,27,,,,28,False
13863,6363556385,,,,45,,,,30,True
13863,6363599661,,,,25,,,,44,False
13754,6363637651,,,,35,,,,28,True
13796,6363646439,,,,31,,,,19,True
13863,6363657047,,,,40,,,,59,False
13716,6363681975,,,,17,,,,26,False
13796,6363689242,,,,41,,,,23,True
13754,6363700890,,,,40,,,,33,False
13863,6363712212,,,,52,,,,81,False
13716,6363722668,,,,22,,,,29,False
13796,6363728709,,,,28,,,,32,False
13754,6363758581,,,,17,,,,31,False
13796,6363769229,,,,25,,,,34,False
13716,6363782701,,,,38,,,,11,True
13863,6363790951,,,,39,,,,42,False
13754,6363804381,,,,16,,,,34,False
13796,6363817536,,,,27,,,,23,True
13863,6363838196,,,,35,,,,27,True
13716,6363849521,,,,8,,,,17,False
