white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3276,1 - 0,NM,Road2GM3000,2318
FM,only_strong_moves,2756,0 - 1,GM,DanielNaroditsky,3049
GM,Jospem,3102,1 - 0,FM,SandwichOSaumon,2514
CM,Rakitic2010,2545,½ - ½,IM,MITerryble,3011
GM,jefferyx,3067,0 - 1,NM,rrgchessmaster05,2520
NM,TEREZANA,2520,0 - 1,GM,BogdanDeac,3106
GM,Msb2,3112,1 - 0,FM,GlavkonVVS,2674
IM,Fh2411,2622,1 - 0,GM,ChristopherYoo,3007
GM,Elsa167,2782,1 - 0,FM,patzer-reloaded,2535
CM,JuniorJumper,2500,0 - 1,GM,frederiksvane,3060
GM,GMBenjaminBok,3076,1 - 0,CM,ExchangeAB,2469
IM,chessllermo,2520,0 - 1,GM,Shankland,2903
IM,lucliasco,2856,1 - 0,NM,PapaieDudu,2469
FM,OneTrickPony_82,2524,0 - 1,FM,Bauman_Guy,2907
GM,vugarrasulov,2933,1 - 0,NM,Romadk,2458
IM,CarlosjPineror,2726,0 - 1,GM,DuleMudule,2786
IM,yosephtaher,2932,1 - 0,FM,Slovak_fighter2000,2543
NM,aksuliini1,2553,0 - 1,GM,h4parah5,2946
IM,mbojan,2948,1 - 0,IM,ural58,2512
NM,TheoSlade,2479,0 - 1,GM,penguingm1,2982
FM,artin10862,2960,1 - 0,NM,Defenstrator,2485
WFM,ccccvhhhj,2481,0 - 1,GM,AlexanderL,2951
GM,rasmussvane,2941,1 - 0,FM,zsoltkorpics,2379
FM,sebastianmarinp,2330,0 - 1,GM,GABUZYAN_CHESSMOOD,3103
IM,Szparu,2863,1 - 0,FM,LukaRadovic0803,2452
GM,Mikhail_Golubev,2598,0 - 1,GM,Hikaru,3276
GM,DanielNaroditsky,3049,1 - 0,FM,anasta10,2638
FM,GP9isback23,2743,0 - 1,GM,Jospem,3102
GM,BogdanDeac,3106,1 - 0,FM,secretworker2027,2663
IM,SlipperySpeedster,2720,0 - 1,GM,Msb2,3112
FM,Kretinovich,2642,0 - 1,GM,Elsa167,2782
GM,frederiksvane,3060,1 - 0,WGM,Sanyura,2607
FM,ahkashefi2800,2625,0 - 1,GM,GMBenjaminBok,3076
GM,Shankland,2903,1 - 0,FM,ozates,2635
NM,Manukyan_Artak,2426,1 - 0,IM,lucliasco,2856
FM,Bauman_Guy,2907,0 - 1,WIM,sheldons73tshirt,2869
FM,BlackGod93,2603,0 - 1,GM,vugarrasulov,2933
GM,DuleMudule,2786,1 - 0,FM,Mystery2007,2511
FM,TST2014,2637,0 - 1,IM,yosephtaher,2932
GM,h4parah5,2946,1 - 0,IM,Nathan_Filgueiras,2481
GM,Cipy77,2608,0 - 1,IM,mbojan,2948
GM,penguingm1,2982,1 - 0,FM,WPWPWP-2015,2596
NM,MaestroCheck,2598,½ - ½,FM,artin10862,2960
GM,AlexanderL,2951,1 - 0,CM,DanylaBagrov,2583
CM,Statham,2692,0 - 1,GM,rasmussvane,2941
GM,GABUZYAN_CHESSMOOD,3103,1 - 0,GM,yaguigor,2605
FM,Bryanl106,2736,0 - 1,IM,Szparu,2863
GM,severomorskij,2879,½ - ½,NM,Kleyton_Lima,2530
FM,colegiodemadrid,2532,0 - 1,GM,BilodeauA,3003
GM,Durarbayli,2925,1 - 0,FM,Andrej2004,2660
GM,Hikaru,3276,1 - 0,GM,Rodalquilar,2778
GM,DmitryMaximov,2758,½ - ½,GM,DanielNaroditsky,3049
GM,Jospem,3102,½ - ½,FM,TanitoluwaAps116,2863
IM,Alexander_Khlebovich,2851,½ - ½,GM,BogdanDeac,3106
GM,Msb2,3112,1 - 0,FM,Axel_Legend,2706
GM,Elsa167,2782,1 - 0,IM,CheckThis4,2675
FM,greekplayer1,2737,0 - 1,GM,frederiksvane,3060
GM,GMBenjaminBok,3076,1 - 0,GM,KNVB,2814
IM,Maitreia,2911,1 - 0,GM,Shankland,2903
GM,vugarrasulov,2933,½ - ½,GM,attack2mateU,2724
CM,slidingknight2775,2653,0 - 1,GM,DuleMudule,2786
IM,yosephtaher,2932,1 - 0,IM,IMRosen,2714
FM,IlanSchnaider,2862,0 - 1,GM,h4parah5,2946
IM,mbojan,2948,0 - 1,IM,Agibileg,2674
IM,UmutErdemGunduz,2653,1 - 0,GM,penguingm1,2982
FM,lefonghua,2478,½ - ½,GM,AlexanderL,2951
GM,rasmussvane,2941,1 - 0,NM,dcremisi,2632
FM,carokannlover213,2850,½ - ½,GM,GABUZYAN_CHESSMOOD,3103
IM,Szparu,2863,1 - 0,GM,BirdMaster3000,2708
GM,BilodeauA,3003,½ - ½,NM,NoHeThTo,2658
GM,gahryman,2610,0 - 1,GM,Durarbayli,2925
GM,Hrant_ChessMood,2963,0 - 1,IM,Kildepiotr,2735
IM,albi1999,2658,0 - 1,GM,Vladimir_Zakhartsov,2908
GM,Genghis_K,2928,1 - 0,IM,Alex_Banzea,2724
GM,TheSilmarils,2862,½ - ½,FM,djano,2622
GM,Genghis_K,2928,0 - 1,GM,Hikaru,3276
GM,Dedic8,2930,½ - ½,GM,Msb2,3112
GM,oskariot,2742,0 - 1,GM,Elsa167,2782
GM,frederiksvane,3060,0 - 1,GM,baag,2856
GM,Kiborg95,2839,½ - ½,GM,GMBenjaminBok,3076
GM,DuleMudule,2786,0 - 1,IM,Eternauta2400,2826
GM,GMKrikor,2857,½ - ½,IM,yosephtaher,2932
GM,h4parah5,2946,1 - 0,NM,MightyGMpretender,2882
GM,rasmussvane,2941,1 - 0,IM,Maitreia,2911
IM,Szparu,2863,1 - 0,IM,UmutErdemGunduz,2653
GM,Durarbayli,2925,1 - 0,IM,Agibileg,2674
WGM,DishonorOnYourCow,2505,½ - ½,GM,Vladimir_Zakhartsov,2908
IM,Kildepiotr,2735,0 - 1,GM,DanielNaroditsky,3049
FM,sofaceindisguise,2725,1 - 0,GM,Jospem,3102
