white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,Patricius007,2566,0 - 1,GM,Hikaru,3276
GM,MagnusCarlsen,3313,1 - 0,NM,WanderingPuppet,2554
GM,underdogchss,2529,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,jefferyx,3067,½ - ½,CM,Jesseinkman,2486
WFM,crazy_m_attack,2517,0 - 1,GM,Jospem,3102
GM,DenLaz,3104,1 - 0,CM,Frankie_Badacsonyi,2504
IM,chessllermo,2520,0 - 1,GM,Duhless,3105
GM,FairChess_on_YouTube,3064,0 - 1,FM,shEwAsonlyeLevEN11,2498
NM,Good_Knight_Kiss,2342,0 - 1,GM,shimastream,3025
IM,MITerryble,3011,1 - 0,CM,Schachkatze2000,2504
WFM,sansanathalia,2548,0 - 1,GM,Njal28,3041
GM,Andreikka,3052,1 - 0,FM,Blitz_Lover1,2485
IM,Squirlolz,2512,0 - 1,GM,DanielNaroditsky,3049
GM,OparinGrigoriy,3086,1 - 0,FM,Golubovsky,2627
FM,el_sporco,2517,0 - 1,GM,SpeedofLight0,3111
GM,dropstoneDP,3019,1 - 0,NM,Jahonas,2426
FM,KacperPolOK,2535,0 - 1,IM,Rud_Makarian,3013
GM,ChristopherYoo,3007,1 - 0,FM,newyorkmouse,2640
CM,nj123456,2485,0 - 1,GM,artooon,3075
GM,vugarrasulov,2933,1 - 0,IM,chrisclaireredfield,2505
IM,KevinGeorgeMicheal,2555,0 - 1,GM,Annawel,2989
GM,Fandorine,2924,1 - 0,NM,NahIdTilt,2458
CM,Sharkaholic,2524,0 - 1,GM,Harsha_Bharathakoti,2912
IM,Kacparov,2986,1 - 0,FM,toavinaraza,2506
FM,ahkashefi2800,2625,0 - 1,IM,MyDream003,2943
GM,Hikaru,3276,1 - 0,CM,ArmanGhevondyanchess,2597
FM,Mackster23,2652,0 - 1,GM,MagnusCarlsen,3313
GM,Oleksandr_Bortnyk,3111,½ - ½,IM,Meri-Arabidze,2686
GM,Jospem,3102,1 - 0,FM,only_strong_moves,2756
FM,Artem_0degov,2676,0 - 1,GM,DenLaz,3104
