white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,Chessdreamer2020,2542,0 - 1,GM,Hikaru,3324
GM,Firouzja2003,3199,1 - 0,FM,Siemba,2276
FM,valeriocarnicelli,2605,0 - 1,GM,LyonBeast,3197
GM,DanielNaroditsky,3083,1 - 0,GM,ViciousTitas,2907
FM,KamilGrycel,2664,0 - 1,GM,Konavets,3189
GM,Duhless,3103,1 - 0,CM,ArmanGhevondyanchess,2608
CM,YurasovMat-2012,2629,0 - 1,GM,lachesisQ,3144
GM,Oleksandr_Bortnyk,3068,1 - 0,WIM,joksijoksi,2532
IM,skoularikii,2697,0 - 1,GM,LevonAronian,3088
GM,FairChess_on_YouTube,3130,1 - 0,FM,Anar_Aliakbarov,2696
IM,Perecke,2554,0 - 1,GM,amintabatabaei,3005
IM,Rud_Makarian,3009,1 - 0,CM,cristianserban1,2678
IM,Artem_Sadovskii,2471,0 - 1,GM,Msb2,3016
GM,OparinGrigoriy,3035,1 - 0,CM,Smiechu,2500
IM,WilsonPalencia21,2605,0 - 1,GM,VincentKeymer,3116
GM,Grischuk,3033,1 - 0,FM,jerry_77,2569
NM,2346PL,2548,0 - 1,GM,mishanick,3109
GM,Bigfish1995,3097,1 - 0,NM,Championnn-9,2630
FM,SouS007,2471,0 - 1,GM,iturrizaga,2996
GM,vi_pranav,3032,1 - 0,IM,manmanlai1,2566
GM,Zq1,2472,0 - 1,GM,GHANDEEVAM2003,3174
GM,FabianoCaruana,3166,0 - 1,IM,Mackster23,2684
CM,Actuary44,2553,0 - 1,GM,NikoTheodorou,3131
GM,dropstoneDP,3076,1 - 0,FM,jup1978,2570
NM,Road2GM3000,2594,0 - 1,GM,joppie2,2975
GM,rasmussvane,2986,1 - 0,NM,StellarChess,2557
CM,Caterpiller35,2458,0 - 1,GM,Jospem,3080
GM,jefferyx,2999,1 - 0,GM,PabloZarnicki,2643
IM,AleksanderHnydiuk,2529,0 - 1,GM,BogdanDeac,3056
GM,Njal28,3000,1 - 0,IM,recargado,2521
NM,thesupera12,2573,0 - 1,GM,Antipov_Mikhail_Al,3024
GM,Shankland,2934,1 - 0,FM,G10De_Arrascaeta,2563
NM,Good_Knight_Kiss,2500,0 - 1,GM,DominguezOnYoutube,2976
GM,ChristopherYoo,3070,1 - 0,FM,bipe137,2586
FM,only_strong_moves,2784,0 - 1,GM,Fandorine,2997
GM,Zlatan56,3001,1 - 0,CM,zverr1,2615
IM,IM_Tissir,2588,0 - 1,GM,Salem-AR,3113
GM,tptagain,3030,1 - 0,GM,Rdeux42,2553
IM,willyam13,2521,0 - 1,GM,frederiksvane,2989
GM,GM_dmitrij,2994,1 - 0,FM,patzer-reloaded,2509
FM,Zorbos,2679,1 - 0,GM,Krakozia,2940
GM,Sanan_Sjugirov,2994,1 - 0,CM,Practical-Play,2557
NM,N_Mullodzhanov,2627,0 - 1,GM,crescentmoon2411,2871
GM,Sargsyan_Shant,3070,1 - 0,FM,SalihEke,2645
FM,Silent-Killer100,2660,0 - 1,GM,AntonSmirnov,3124
GM,Vaathi_Coming,2998,1 - 0,FM,brunoo2003,2728
IM,santosalberto1987,2545,0 - 1,GM,bardiya_Daneshvar,2979
FM,artin10862,3004,1 - 0,NM,Chess_Caio2007,2702
FM,anasta10,2676,0 - 1,GM,BillieKimbah,3008
GM,Beca95,3018,1 - 0,IM,lupta_robin,2838
NM,TEREZANA,2520,0 - 1,GM,GMBenjaminBok,3094
GM,BilodeauA,2990,1 - 0,IM,Nadtkins,2553
FM,Carlitus2004,2441,½ - ½,GM,SantoBlue,3016
GM,jcibarra,2909,1 - 0,FM,Crasyhealer,2542
FM,argentum049,2460,½ - ½,GM,AryanTari,2986
GM,Zhigalko_Sergei,2974,1 - 0,CM,ATM622,2455
NM,Dare-Dare,2526,0 - 1,IM,lucliasco,2860
GM,Elsa167,2782,1 - 0,FM,rdarruda,2557
FM,vidavi,2556,0 - 1,GM,GMHess,2876
GM,KuzubovYuriy,2958,1 - 0,GM,rhungaski,2638
CM,ShahMatKanal,2521,0 - 1,GM,h4parah5,2990
GM,vladislavkovalev,2826,0 - 1,WFM,ccccvhhhj,2534
CM,RaugintaBulba,2503,0 - 1,GM,Hrant_ChessMood,2939
GM,JSPrepz,2884,1 - 0,IM,DawidCzerw,2481
FM,Orphanator2009,2509,1 - 0,GM,Arseniy_Nesterov,3045
GM,promen1999,2850,1 - 0,GM,maximnovik,2661
NM,volkanyirik,2506,0 - 1,GM,penguingm1,2974
GM,sergiochess83,2891,1 - 0,IM,ikhasu,2567
FM,xakevicius91,2470,½ - ½,GM,Kiborg95,2839
GM,MrTattaglia,3027,1 - 0,FM,WindWhistler11,2530
FM,MasterKroket,2599,0 - 1,GM,Byniolus,2836
GM,VitaliyBernadskiy,2932,1 - 0,FM,zsizsi99,2559
NM,Noki102,2526,0 - 1,GM,Durarbayli,2931
FM,theblitzchamp,2790,1 - 0,FM,colegiodemadrid,2553
FM,Michal_Fiedorek,2560,0 - 1,GM,Binary010,2873
GM,kleinebeer98,2821,0 - 1,FM,OneTrickPony_82,2403
CM,masenik,2480,0 - 1,GM,Dedic8,2936
IM,mbojan,2882,1 - 0,NM,EvilMorty23,2617
IM,Levanzovsky,2580,0 - 1,IM,Kirill_Klukin,2927
GM,Mikhail_Bryakin,2886,1 - 0,CM,KVAIDAN,2327
NM,SwordBilledHummingbird,2658,0 - 1,GM,Karpovs_Maid,2826
IM,mr_gustavo,2857,1 - 0,FM,Maxfan2008,2656
IM,ural58,2519,0 - 1,GM,platy3,2964
IM,Eduard_Limonov,2864,1 - 0,IM,Balla_Tamas,2646
NM,Thormento16,2369,0 - 1,IM,Zubrrr,2769
GM,cassoulet,2835,1 - 0,IM,m_ezat,2748
FM,DeArron_Fox,2675,0 - 1,GM,alexrustemov,2879
GM,HeartAblaze,2844,1 - 0,FM,PlotnikovPavel,2546
CM,boracilek,2537,0 - 1,GM,PeacefulWarrior888,2775
GM,ckgchess,2940,1 - 0,FM,Kingstar70,2479
FM,SergioMoralesG,2511,0 - 1,IM,NovakCabarkapa,2751
GM,jstopa4,2779,1 - 0,CM,thechessnoob12345,2570
IM,vladoboch,2578,1 - 0,IM,HamedWafa4,2844
IM,LikeWater,2757,1 - 0,IM,Aariow,2373
CM,Sjakkerntobi,2607,½ - ½,GM,Khamrakulov_Djurabek,2913
FM,sofaceindisguise,2749,1 - 0,CM,cthulhuuu,2446
CM,ExchangeAB,2481,0 - 1,IM,SyrBatman,2884
GM,Sokoloco,2741,1 - 0,FM,chessburger_tv,2507
IM,Mistango,2521,0 - 1,GM,ameetghasi100,2721
GM,krzyzan94,2836,1 - 0,FM,esskeettit,2550
NM,steepedgames,2475,½ - ½,NM,MightyGMpretender,2886
GM,samolo,2686,0 - 1,IM,Smoking_Crow,2721
CM,korkmaz16,2481,0 - 1,NM,Blitzstream,2851
IM,DeTimmerman,2821,0 - 1,FM,JG-17,2601
FM,szachmistrz2500,2552,½ - ½,FM,BardArtem,2880
