white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,Muslim_player_05,2588,0 - 1,GM,Hikaru,3324
GM,Firouzja2003,3199,1 - 0,FM,Viktoker,2677
NM,harshu27,2466,0 - 1,GM,FabianoCaruana,3146
GM,DenLaz,3161,1 - 0,FM,McCarthyStone,2596
NM,chess_blitz00,2636,0 - 1,GM,FairChess_on_YouTube,3130
GM,Msb2,3036,1 - 0,FM,miaou33,2671
FM,Petukhov_Dmitry,2584,0 - 1,GM,Javokhir_Sindarov05,3169
GM,mishanick,3109,1 - 0,CM,Antek_Radzimski,2801
FM,Mr_ruthless,2617,0 - 1,GM,jefferyx,2999
GM,Shield12,2954,½ - ½,FM,Snegokhod,2547
CM,FerAsensio2024,2573,0 - 1,GM,Prizant_academy,3183
GM,lachesisQ,3144,1 - 0,FM,Winner_7777,2601
FM,gospodarsaha07,2502,½ - ½,GM,GM_dmitrij,2994
GM,wonderfultime,3063,1 - 0,FM,el_sporco,2597
NM,Itay121,2634,0 - 1,GM,BogdanDeac,3057
GM,Oleksandr_Bortnyk,3095,1 - 0,CM,Nicolas_Chess10,2530
NM,Gnechko_Ruslan,2449,0 - 1,IM,MITerryble,3075
GM,OparinGrigoriy,3035,1 - 0,FM,Goffredo_Fofi,2568
FM,Pingah9,2612,½ - ½,GM,GMBenjaminBok,3094
GM,penguingm1,2974,1 - 0,GM,yobdc,2608
FM,Carlitus2004,2441,0 - 1,GM,1stSecond,2992
IM,Zohid6,2922,0 - 1,FM,Mmukka,2527
WFM,malakismayil,2592,0 - 1,GM,dropstoneDP,3076
IM,pheonixking2000,2942,0 - 1,IM,santosalberto1987,2545
WFM,Preobrazhenska_D2011,2514,0 - 1,GM,TigrVShlyape,2868
GM,vugarrasulov,3010,1 - 0,FM,VacheH009,2668
FM,WindWhistler11,2530,1 - 0,FM,Bauman_Guy,3005
GM,SantoBlue,3016,1 - 0,FM,AA95,2500
CM,Shuvalov,2689,0 - 1,GM,Sychev_Klementy,3002
IM,MatthewG-p4p,2904,1 - 0,FM,Schattman,2499
CM,komogro,2527,0 - 1,GM,Andreikka,3033
FM,rezamahdavi2008,2948,1 - 0,CM,calmberserk,2598
FM,Yerlan-Ra,2612,1 - 0,GM,baki83,2929
GM,Paralinch,2914,1 - 0,FM,CristianS27,2605
FM,G10De_Arrascaeta,2563,0 - 1,GM,Zhigalko_Sergei,2974
GM,h4parah5,2990,1 - 0,FM,Dubs123,2555
FM,leandrojimenez,2461,0 - 1,IM,Kirill_Klukin,2927
GM,eljanov,2868,1 - 0,FM,sharkarton,2579
CM,MMAHDI2013,2678,0 - 1,GM,frederiksvane,2989
GM,DominguezOnYoutube,2976,1 - 0,FM,Rosh1610,2658
FM,Crasyhealer,2542,1 - 0,GM,Durarbayli,2931
CM,stollenmonster,2924,0 - 1,NM,Kielinkei,2570
WFM,Lady_Nika,2553,0 - 1,GM,rasmussvane,2952
GM,platy3,2964,1 - 0,FM,Ruprecht_der_Knecht,2501
CM,ivanquiroga,2550,0 - 1,IM,ulises2013,2872
IM,Szparu,2831,1 - 0,CM,ATM622,2455
NM,Train_Your_Dragon,2479,0 - 1,GM,Nitzan_Steinberg,2895
GM,KuybokarovTemur,3040,0 - 1,FM,agustinv04,2704
NM,Chaubunagungamaug2,2596,0 - 1,IM,monomita,2836
GM,Alexander_Donchenko,2843,1 - 0,FM,Kev4444444444,2499
NM,esrosenberg,2376,0 - 1,GM,BillieKimbah,3008
