white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,xakevicius91,2470,0 - 1,GM,Hikaru,3324
GM,Firouzja2003,3199,1 - 0,NM,Mikhal867,2510
NM,Kielinkei,2570,0 - 1,GM,Jospem,3080
GM,lachesisQ,3144,1 - 0,FM,jm_gutierrez,2540
CM,SultaiC,2536,0 - 1,GM,Javokhir_Sindarov05,3169
GM,mishanick,3109,1 - 0,FM,rdarruda,2557
FM,mistrzemi,2558,0 - 1,GM,FairChess_on_YouTube,3130
GM,BogdanDeac,3029,1 - 0,FM,wild3000,2508
FM,Just_Lucky_1,2555,1 - 0,GM,ChristopherYoo,3068
GM,Msb2,3016,1 - 0,CM,Josetricks,2636
CM,Navi_NazarPro,2536,0 - 1,GM,jefferyx,2999
GM,GM_dmitrij,2994,1 - 0,FM,PierrotFace,2572
FM,Casper,2565,0 - 1,IM,Rud_Makarian,3076
GM,tptagain,3030,1 - 0,NM,DukeNebur,2516
FM,ahkashefi2800,2546,0 - 1,GM,Sanan_Sjugirov,2994
IM,Kacparov,2992,1 - 0,FM,Viktoker,2677
FM,el_sporco,2597,0 - 1,GM,DanielNaroditsky,3083
GM,jcibarra,2950,1 - 0,FM,gospodarsaha07,2502
NM,VitorBronson,2579,0 - 1,IM,Tobias_Koelle,3090
GM,Oleksandr_Bortnyk,3068,1 - 0,WIM,joksijoksi,2532
WFM,BestestBP,2493,0 - 1,IM,Yaacovn,2830
IM,kingofthenil,2951,1 - 0,IM,Abduzhaparov,2438
FM,pauliukevicius,2589,0 - 1,GM,lilleper1,2955
GM,DrVelja,3001,1 - 0,FM,VomDingJetztHer,2470
CM,Onthequiet,2573,0 - 1,FM,rezamahdavi2008,2948
GM,VladimirKramnik,3040,1 - 0,CM,giomar27,2344
FM,vidavi,2556,0 - 1,GM,penguingm1,2974
GM,bancsoo,3013,1 - 0,NM,AlexanderMatlak,2529
FM,chess_mad35,2581,0 - 1,GM,Vaathi_Coming,2998
IM,Szparu,2831,1 - 0,CM,maksimys18,2586
FM,MusicCityMaster,2419,0 - 1,GM,TigrVShlyape,2868
GM,gmcorrales,2909,1 - 0,FM,fviana,2468
FM,Ahmadalrahely9999,2512,0 - 1,NM,Chessgodisback2008,2880
GM,Zkid,2925,1 - 0,NM,ajian,2466
FM,Sem1901,2553,0 - 1,GM,rasmussvane,2986
IM,IlyaGrigorjev,2866,1 - 0,FM,BishopPairMasterr,2418
FM,Ryukchess81,2494,1 - 0,GM,Lukianoo,2954
GM,DanielDardha2005,2946,1 - 0,FM,stasOR4ik,2430
FM,WindWhistler11,2530,0 - 1,GM,MetiForce,2971
GM,vugarrasulov,3010,1 - 0,FM,dark_chess_SMG,2558
NM,chessifizer,2306,0 - 1,FM,bubeliang,2924
GM,h4parah5,2990,1 - 0,NM,Pellegrino_Chess,2401
FM,miredenizdogan,2441,0 - 1,GM,alexrustemov,2879
GM,ChessSharkz,2921,1 - 0,FM,KarstenSchulz,2509
NM,LSChess,2530,0 - 1,GM,MarkusRagger,2942
FM,BardArtem,2880,½ - ½,CM,jlf287,2465
CM,antonusss,2380,0 - 1,IM,lucliasco,2860
NM,ElliotAldersonTwitch,2844,1 - 0,FM,esskeettit,2550
NM,urano56,2470,1 - 0,FM,GoltsevDmitry2000,2829
IM,LikeWater,2757,0 - 1,NM,0ne_M0ve,2523
FM,AmericanFighter_2010,2615,0 - 1,IM,Mops_2004,2826
GM,oskariot,2841,1 - 0,CM,nj123456,2456
CM,Laurin_2009,2377,0 - 1,FM,rychessmaster1,2820
FM,Artem_0degov,2811,1 - 0,FM,Chessbard1972,2353
FM,Redzishchess,2490,0 - 1,FM,PyrihRoman,2861
FM,Dolphin_2010,2869,1 - 0,CM,topce,2515
NM,Nick12772,2496,½ - ½,FM,MarcoRiehle,2741
FM,honestgames,2799,1 - 0,FM,petr577,2506
CM,ATM622,2455,1 - 0,FM,secretworker2027,2724
IM,WorriedEgg,2995,½ - ½,FM,YasinEmrah,2395
CM,NovakRatko,2479,0 - 1,IM,Revan_2002,2776
GM,TheBigBoss04,2787,1 - 0,CM,Cheer_Down,2457
CM,superfer98,2501,1 - 0,GM,GMKrikor,2806
FM,Bryanl106,2883,1 - 0,FM,PoXerStar,2397
NM,RichardShtivelband,2332,0 - 1,FM,Franmu14,2702
CM,Andrei_Skvortsov,2737,0 - 1,CM,Smiechu,2500
CM,icltspmosmong,2476,0 - 1,FM,AlexPapasimakopoulos,2763
GM,Rodalquilar,2798,1 - 0,FM,Eliwood44,2438
FM,Eloist,2448,½ - ½,GM,Goryachkina,2854
IM,enestnrvrd,2624,1 - 0,NM,SupremeTactician,2428
CM,bonantagulo,2294,0 - 1,IM,Sl4werThanYou,2792
IM,minisim,2711,1 - 0,NM,chess13524678,2505
CM,HomeAlone20,2347,0 - 1,IM,NailBashirli,2838
FM,Gunner214,2784,1 - 0,FM,AsaHoffmann,2418
NM,Jahonas,2369,0 - 1,GM,CaspiIsrael,2755
IM,TERMINATOR_PC,2778,0 - 1,FM,LuisFSiles,2343
CM,andrzej,2415,0 - 1,GM,DryCounty,2750
IM,Korchmar_Vasiliy,2708,1 - 0,FM,AleOnSquares,2494
NM,Good_Knight_Kiss,2500,0 - 1,IM,Meri-Arabidze,2708
