white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
NM,chess_blitz00,2636,0 - 1,GM,Hikaru,3324
GM,MagnusCarlsen,3256,1 - 0,IM,lupta_robin,2838
IM,Tugrik1969,2498,0 - 1,GM,Polish_fighter3000,3200
GM,DenLaz,3161,1 - 0,NM,Agent-JL,2571
FM,PelinGorki,2569,0 - 1,GM,Firouzja2003,3199
GM,FairChess_on_YouTube,3130,1 - 0,IM,ChainedDowntohell,2583
CM,HeroWilczek,2653,0 - 1,GM,Jospem,3080
GM,Oleksandr_Bortnyk,3068,0 - 1,IM,Macron20hTF1,2558
WFM,Lady_Nika,2553,0 - 1,GM,mishanick,3099
GM,Msb2,3036,1 - 0,CM,tomesao,2476
FM,RedFirePanda,2604,0 - 1,GM,Baku_Boulevard,3104
GM,Shield12,2954,1 - 0,NM,noblerone,2617
FM,Orphanator2009,2509,0 - 1,GM,Azerichess,3068
IM,Rud_Makarian,3076,1 - 0,FM,TrompeterImEther,2687
IM,chessllermo,2528,½ - ½,GM,dropstoneDP,3076
GM,shimastream,3047,1 - 0,IM,GMAneta,2563
CM,Brahianzevich,2362,0 - 1,GM,GOGIEFF,3056
GM,Sanan_Sjugirov,2994,1 - 0,GM,Ralf61,2514
GM,zubridis,2646,0 - 1,GM,Anton_Demchenko,3024
GM,jcibarra,2950,½ - ½,IM,Chessexplained,2614
NM,Itay121,2634,0 - 1,IM,MITerryble,3075
IM,Sina_Movahed,3044,1 - 0,FM,TGRoyalChess,2658
FM,Silent-Killer100,2660,1 - 0,GM,wonderfultime,3063
GM,Robert_Chessmood,3046,1 - 0,FM,Schattman,2499
CM,DanylaBagrov,2613,0 - 1,GM,Prizant_academy,3183
GM,Beca95,3017,1 - 0,NM,MaestroCheck,2590
NM,2346PL,2548,½ - ½,FM,Iball95,2908
IM,yosephtaher,3050,1 - 0,CM,JoshuaGK27,2574
WIM,joksijoksi,2532,0 - 1,GM,FGHSMN,2914
GM,Durarbayli,2931,1 - 0,FM,Predo63,2648
NM,Tonychess32,2551,0 - 1,IM,LiamPutnam2008,2977
IM,ChessFighter_2011,3003,½ - ½,FM,tusplingher,2739
FM,Art10ECHR,2541,0 - 1,FM,artin10862,3004
GM,GGuseinov,2877,½ - ½,FM,Caracal3000,2531
WIM,Savagelittlemole,2538,0 - 1,GM,Mikhail_Bryakin,2886
IM,ProphetReborn,3000,1 - 0,FM,venturov,2505
IM,vladoboch,2578,0 - 1,GM,XDPS,2935
GM,GMKrikor,2806,1 - 0,FM,LeoLV10,2601
IM,SuperJesus88,2603,0 - 1,CM,stollenmonster,2924
GM,TigrVShlyape,2868,1 - 0,FM,KINGOF2SOAP,2349
FM,Payyappat,2439,1 - 0,FM,rezamahdavi2008,2948
GM,A-Fier,2820,1 - 0,FM,DvaHrasta,2597
IM,Homelander150,2760,0 - 1,GM,KuzubovYuriy,2958
GM,sergoy,3028,½ - ½,FM,krucki03,2650
FM,sakkikuska,2652,0 - 1,GM,Radzio1987,2898
GM,HVillagra,2994,½ - ½,GM,RealPerangel,2742
FM,TitanChess666,2482,0 - 1,GM,lilleper1,3007
FM,Bauman_Guy,3005,1 - 0,WGM,savitha1030,2594
FM,DeArron_Fox,2675,0 - 1,GM,alexrustemov,2879
IM,MatthewG-p4p,2904,1 - 0,FM,colegiodemadrid,2553
CM,ATM622,2455,0 - 1,GM,viviania,2898
GM,Alexander_Donchenko,2843,1 - 0,CM,Actuary44,2553
FM,SilverSwords13,2586,0 - 1,GM,moro182,2888
GM,promen1999,2850,1 - 0,FM,VanRommel28,2531
