white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,moro182,2901,1 - 0,CM,cristianserban1,2641
NM,Divljasvinja14,2340,0 - 1,GM,TigrVShlyape,2866
GM,GHANDEEVAM2003,3044,0 - 1,IM,Sawatdeekhrap,2737
FM,RuperezA,2728,0 - 1,IM,MITerryble,3011
CM,Chera_Chola_Pandya_in2024,2594,0 - 1,GM,vugarrasulov,2933
GM,MagnusCarlsen,3313,1 - 0,GM,rasmussvane,2941
GM,Javokhir_Sindarov05,3126,1 - 0,GM,hansen,2969
IM,klimkoj,2930,1 - 0,GM,Oleksandr_Bortnyk,3111
GM,Vladimir_Zakhartsov,2908,0 - 1,GM,jefferyx,3067
IM,Rud_Makarian,3013,0 - 1,GM,vladislavkovalev,2875
GM,DanielNaroditsky,3049,1 - 0,GM,moro182,2901
GM,jcibarra,2970,½ - ½,GM,TigrVShlyape,2866
GM,h4parah5,2946,½ - ½,FM,greekplayer1,2737
FM,AlexPapasimakopoulos,2723,½ - ½,GM,BogdanDeac,3106
IM,MITerryble,3011,1 - 0,FM,ilqar_74,2849
GM,vugarrasulov,2933,0 - 1,GM,dretch,2871
GM,mishanick,3038,1 - 0,IM,TimAina,2778
GM,Igor_Janik,2869,1 - 0,IM,Mops_2004,2760
GM,PepeCuenca,2734,0 - 1,GM,Zhigalko_Sergei,2912
FM,artin10862,2960,1 - 0,IM,Sawatdeekhrap,2737
CM,ArmanGhevondyanchess,2597,0 - 1,GM,baki83,2889
GM,Shankland,2903,0 - 1,IM,CarlosjPineror,2726
NM,MaestroCheck,2598,0 - 1,IM,Szparu,2863
IM,chipmunknau,2709,0 - 1,GM,SpeedofLight0,3111
FM,ArtemDyachuk,2673,0 - 1,GM,FairChess_on_YouTube,3064
IM,crazy_machine,2675,0 - 1,GM,Msb2,3112
FM,Mackster23,2652,0 - 1,GM,Polish_fighter3000,3057
CM,KogotBobra17,2837,0 - 1,IM,MatthewG-p4p,2948
FM,GP9isback23,2743,½ - ½,IM,mbojan,2948
IM,xasid81,2666,0 - 1,GM,Njal28,3041
GM,DanielNaroditsky,3049,½ - ½,GM,MagnusCarlsen,3313
GM,vladislavkovalev,2875,0 - 1,GM,Javokhir_Sindarov05,3126
GM,jefferyx,3067,1 - 0,IM,klimkoj,2930
GM,baki83,2889,0 - 1,IM,MITerryble,3011
IM,Szparu,2863,0 - 1,GM,jcibarra,2970
GM,TigrVShlyape,2866,0 - 1,GM,mishanick,3038
GM,dretch,2871,1 - 0,GM,h4parah5,2946
FM,AlexPapasimakopoulos,2723,0 - 1,GM,Igor_Janik,2869
GM,Zhigalko_Sergei,2912,1 - 0,FM,artin10862,2960
FM,greekplayer1,2737,0 - 1,GM,SpeedofLight0,3111
IM,CarlosjPineror,2726,0 - 1,GM,Msb2,3112
GM,FairChess_on_YouTube,3064,½ - ½,FM,volcanoexplorer,2736
GM,BogdanDeac,3106,1 - 0,IM,2bf41-0,2834
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,Rodalquilar,2778
FM,FMJoseHerrera,2733,0 - 1,IM,Rud_Makarian,3013
GM,Polish_fighter3000,3057,1 - 0,IM,SchmakAttack,2800
IM,MatthewG-p4p,2948,0 - 1,IM,dedpihto_v_kozhanom_palto,2743
GM,Njal28,3041,1 - 0,CM,Statham,2692
GM,theredking89,2746,1 - 0,FM,FaustinoOro,3043
GM,rasmussvane,2941,1 - 0,IM,LikeWater,2785
GM,hansen,2969,1 - 0,IM,GelmanAlexander,2719
CM,RantomOpening,2574,0 - 1,GM,Vladimir_Zakhartsov,2908
GM,moro182,2901,1 - 0,IM,WorriedEgg,3001
IM,saikrishnaReturns,2709,0 - 1,IM,Kirill_Klukin,2914
GM,Beca95,2990,1 - 0,IM,manitodeplomo,2625
GM,Javokhir_Sindarov05,3126,0 - 1,GM,jefferyx,3067
GM,MagnusCarlsen,3313,1 - 0,GM,mishanick,3038
GM,Igor_Janik,2869,½ - ½,GM,DanielNaroditsky,3049
IM,MITerryble,3011,½ - ½,GM,Zhigalko_Sergei,2912
GM,jcibarra,2970,0 - 1,GM,dretch,2871
GM,SpeedofLight0,3111,1 - 0,GM,Vladimir_Zakhartsov,2908
GM,Msb2,3112,1 - 0,GM,moro182,2901
IM,Kirill_Klukin,2914,0 - 1,GM,BogdanDeac,3106
GM,alexrustemov,2899,0 - 1,GM,Oleksandr_Bortnyk,3111
IM,Rud_Makarian,3013,1 - 0,GM,Beca95,2990
GM,Polish_fighter3000,3057,1 - 0,GM,MikaelyanArman,2937
GM,Paralinch,2923,1 - 0,GM,Njal28,3041
GM,Kiborg95,2839,0 - 1,GM,rasmussvane,2941
GM,hansen,2969,0 - 1,GM,maciek_92,2905
IM,klimkoj,2930,½ - ½,GM,AlexeiShirov,2822
GM,vladislavkovalev,2875,½ - ½,GM,theredking89,2746
IM,dedpihto_v_kozhanom_palto,2743,0 - 1,GM,FairChess_on_YouTube,3064
