white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3276,1 - 0,FM,kuba2006,2535
NM,noblerone,2540,0 - 1,GM,Firouzja2003,3188
GM,DenLaz,3104,1 - 0,FM,rubix_time,2538
FM,ChessTankMan,2634,½ - ½,GM,FairChess_on_YouTube,3064
GM,Prizant_academy,3183,1 - 0,FM,Patricius007,2566
CM,mightysmasher,2595,0 - 1,GM,Msb2,3112
GM,Duhless,3105,1 - 0,FM,Richardmaster,2536
IM,Kratos031,2556,0 - 1,GM,jefferyx,3067
GM,vi_pranav,3103,1 - 0,FM,andrejljepic,2589
FM,Truequitos,2553,0 - 1,GM,lachesisQ,3164
GM,mishanick,3038,1 - 0,NM,Mikayel99,2605
FM,WPWPWP-2015,2596,0 - 1,GM,Javokhir_Sindarov05,3126
GM,artooon,3075,1 - 0,FM,Ginzburg_Yakov,2576
FM,Arteler,2420,0 - 1,GM,wonderfultime,3083
GM,frederiksvane,3060,1 - 0,IM,Nadtkins,2553
FM,el_sporco,2517,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,dropstoneDP,3003,1 - 0,FM,N18player,2610
IM,orkinyo12345,2499,0 - 1,GM,Alexander_Zubov,3018
GM,GMBenjaminBok,3076,1 - 0,FM,Blunderstormm,2560
CM,icy,2517,0 - 1,GM,howitzer14,3014
GM,BogdanDeac,3106,1 - 0,CM,FerAsensio2024,2404
IM,SaiAgni_98,2524,0 - 1,GM,tptagain,2995
IM,Rud_Makarian,3013,1 - 0,WIM,Speshka,2662
FM,Kombinator01,2250,0 - 1,GM,Shield12,2952
IM,Zohid6,2958,1 - 0,FM,topin8,2590
FM,Timerkhanov,2587,0 - 1,GM,Hikaru,3276
GM,Firouzja2003,3188,1 - 0,IM,bazar-wokzal,2640
IM,viktorskliarov,2724,0 - 1,GM,DenLaz,3104
FM,slorovel,2642,0 - 1,GM,Prizant_academy,3183
GM,Msb2,3112,1 - 0,FM,AsterPhoenix,2666
NM,HaryKane,2531,0 - 1,GM,Duhless,3105
GM,jefferyx,3067,1 - 0,FM,Lucky_Puncher,2606
FM,secretworker2027,2663,½ - ½,GM,vi_pranav,3103
GM,lachesisQ,3164,½ - ½,IM,MatyChess1,2718
FM,twofoxniel,2803,0 - 1,GM,mishanick,3038
GM,Javokhir_Sindarov05,3126,1 - 0,CM,AmbartsumianTyhran2012,2587
GM,Ginger_GM,2660,0 - 1,GM,artooon,3075
GM,wonderfultime,3083,1 - 0,FM,GP9isback23,2743
FM,Ramosha,2727,0 - 1,GM,frederiksvane,3060
GM,Oleksandr_Bortnyk,3111,½ - ½,FM,Th3_Hound,2659
GM,yaguigor,2605,½ - ½,GM,dropstoneDP,3003
GM,Alexander_Zubov,3018,1 - 0,GM,Mikhail_Golubev,2598
GM,ftorodent,2647,1 - 0,GM,GMBenjaminBok,3076
GM,howitzer14,3014,1 - 0,FM,chessdragon7161,2556
NM,Aemulus20,2617,0 - 1,GM,BogdanDeac,3106
GM,tptagain,2995,1 - 0,CM,profedechess93,2631
CM,jaskol95,2638,0 - 1,IM,Rud_Makarian,3013
GM,Shield12,2952,1 - 0,GM,vladjianu,2575
FM,MaevskiyNikolay,2661,0 - 1,IM,Zohid6,2958
GM,DrVelja,2963,1 - 0,NM,Brown_Bear_MGL,2535
GM,Hikaru,3276,1 - 0,GM,Aygehovit1992,2723
GM,krzyzan94,2826,0 - 1,GM,Firouzja2003,3188
GM,DenLaz,3104,½ - ½,FM,carokannlover213,2850
GM,Prizant_academy,3183,1 - 0,FM,Karateloru,2758
IM,Yaacovn,2950,0 - 1,GM,Msb2,3112
GM,Duhless,3105,1 - 0,FM,zimmm36,2686
IM,GianmarcoVaR,2866,0 - 1,GM,jefferyx,3067
GM,mishanick,3038,0 - 1,FM,Witik,2797
GM,DuleMudule,2786,0 - 1,GM,Javokhir_Sindarov05,3126
GM,artooon,3075,1 - 0,FM,mwpchess,2681
GM,RealPerangel,2737,0 - 1,GM,wonderfultime,3083
GM,frederiksvane,3060,1 - 0,IM,Zubrrr,2769
GM,chessdjw,2726,½ - ½,GM,Alexander_Zubov,3018
FM,Evan_Attaker,2697,0 - 1,GM,howitzer14,3014
GM,BogdanDeac,3106,1 - 0,FM,Gunner214,2713
FM,FREDERICKtheMATE,2740,½ - ½,GM,tptagain,2995
IM,Rud_Makarian,3013,1 - 0,CM,Puzzlebot_1294,2740
IM,Karttunen,2698,0 - 1,GM,Shield12,2952
IM,Zohid6,2958,1 - 0,IM,GothamChess,2835
FM,NikitaShandrygin,2688,0 - 1,GM,DrVelja,2963
GM,Durarbayli,2925,1 - 0,CM,Keithonsky,2640
GM,ChessQueen,2729,½ - ½,GM,eljanov,2862
GM,VladimirKramnik,2992,1 - 0,FM,Suleyman_Chess06,2742
IM,LawrenceTrent,2710,1 - 0,GM,Jakhongir-Vakhidov,3002
GM,moro182,2901,0 - 1,FM,Cosi43,2674
GM,Igor_Janik,2869,0 - 1,GM,Hikaru,3276
GM,Firouzja2003,3188,0 - 1,IM,Szparu,2863
IM,WhiteKnight2612,2816,0 - 1,GM,Prizant_academy,3183
GM,Msb2,3112,1 - 0,GM,superchess02,2965
GM,Mikhail_Bryakin,2892,½ - ½,GM,Duhless,3105
GM,jefferyx,3067,0 - 1,FM,rychessmaster1,2839
GM,Javokhir_Sindarov05,3126,1 - 0,FM,Eagle_2019,2902
IM,Seochesspie,2844,0 - 1,GM,artooon,3075
GM,wonderfultime,3083,1 - 0,GM,NewBornNow,2836
GM,frederiksvane,3060,1 - 0,FM,ilqar_74,2849
GM,howitzer14,3014,1 - 0,GM,Rakhmanov_Aleksandr,2824
GM,BogdanDeac,3106,1 - 0,GM,onyshchuk_v,2881
IM,Rud_Makarian,3013,½ - ½,IM,dzhumagaliev,2780
GM,Shield12,2952,½ - ½,CM,MrLion3000,2725
GM,Byniolus,2842,1 - 0,IM,Zohid6,2958
GM,DrVelja,2963,0 - 1,GM,platy3,3018
IM,HamedWafa4,2759,0 - 1,GM,Durarbayli,2925
GM,VladimirKramnik,2992,1 - 0,FM,TanitoluwaAps116,2863
GM,Sychev_Klementy,3002,1 - 0,FM,Witik,2797
IM,LawrenceTrent,2710,0 - 1,GM,Nemegejas,2913
FM,Cosi43,2674,0 - 1,GM,penguingm1,2982
GM,Grukjr,2642,1 - 0,GM,rasmussvane,2941
GM,Vaathi_Coming,2934,1 - 0,GM,Kazan28,2584
GM,Zhigalko_Sergei,2912,1 - 0,FM,picturesquecheck,2451
WGM,Crazy_girl99,2678,0 - 1,GM,DenLaz,3104
GM,Hikaru,3276,0 - 1,GM,VladimirKramnik,2992
GM,Prizant_academy,3183,0 - 1,GM,Sychev_Klementy,3002
GM,Nemegejas,2913,0 - 1,GM,Msb2,3112
GM,penguingm1,2982,0 - 1,GM,Javokhir_Sindarov05,3126
GM,artooon,3075,1 - 0,GM,Vaathi_Coming,2934
GM,Zhigalko_Sergei,2912,1 - 0,GM,wonderfultime,3083
IM,Szparu,2863,½ - ½,GM,frederiksvane,3060
FM,rychessmaster1,2839,½ - ½,GM,howitzer14,3014
