white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,MarkusRagger,2942,1 - 0,NM,semchik90,2338
NM,Kaustubh_Kodihalli,2512,0 - 1,IM,DeTimmerman,2821
GM,cassoulet,2835,1 - 0,WFM,Quattroporte300,2524
FM,Andrii_Prydun,2394,0 - 1,GM,PepeCuenca,2759
FM,MarcoRiehle,2748,1 - 0,FM,Eloist,2448
NM,Supelyel,2498,½ - ½,GM,Hamisandwich,2696
IM,Lennis93,2730,1 - 0,NM,bobo_panda,2405
IM,FightingDragon84,2358,0 - 1,GM,Sokoloco,2741
FM,GoltsevDmitry2000,2829,0 - 1,FM,Danito1954,2542
FM,emeli_chess,2477,0 - 1,IM,JoakimVonAnd,2680
IM,Nor1lsk,2789,0 - 1,WIM,Nekoo04,2525
FM,AsaHoffmann,2418,0 - 1,IM,IMRosen,2806
FM,ReadySkate,2886,1 - 0,CM,Onthequiet,2573
CM,Bkmzzzzz,2369,0 - 1,FM,Franmu14,2702
FM,TanitoluwaAps116,2784,1 - 0,NM,Zampronha1971,2412
FM,NajdorfPlayerc5,2771,1 - 0,FM,rychessmaster1,2820
IM,StockFisher_HBK,2730,1 - 0,FM,alexgo05,2490
FM,TheAlienParty,2376,0 - 1,IM,DreamsAreFake,2719
FM,RandomNoob04,2726,1 - 0,FM,albayo,2369
FM,Laico,2438,½ - ½,FM,Timerkhanov,2683
FM,farzadbfd,2705,1 - 0,CM,Denisenko_Denis,2421
CM,ShahMatKanal,2521,1 - 0,FM,greekplayer1,2737
GM,Byniolus,2836,1 - 0,CM,acertijo08,2335
FM,divudis17,2558,0 - 1,IM,Mischuk_D,2840
IM,HatvSp923,2709,1 - 0,FM,CruzWilliam,2444
NM,Jahonas,2369,0 - 1,CM,ManMish2,2756
FM,secretworker2027,2724,0 - 1,FM,Frankie_Badacsonyi,2504
NM,KorolDimitriy75,2482,0 - 1,IM,Meri-Arabidze,2708
GM,attack2mateU,2761,½ - ½,FM,micke12a,2384
CM,Taran2004,2385,½ - ½,FM,only_strong_moves,2784
FM,RuperezA,2782,1 - 0,FM,Timurist,2466
NM,JUMPINGJAC2,2619,1 - 0,IM,Rutricks,2783
IM,Flawless_Fighter,2775,½ - ½,WGM,ClauAmura,2356
FM,AmericanFighter_2010,2615,0 - 1,FM,Statham,2811
IM,lupta_robin,2838,1 - 0,FM,MeisterJabo,2487
NM,Chessdude1987,2422,0 - 1,FM,ozates,2662
GM,js20000,2821,0 - 1,CM,CyberSurfer12,2513
NM,Sacbutt,2346,1 - 0,IM,Korchmar_Vasiliy,2708
IM,Alphafischer2019,2688,1 - 0,NM,duone,2620
NM,Kimkibo,2421,0 - 1,FM,KATPAH,2818
IM,hblanco,2732,1 - 0,CM,geordie_derraugh,2481
NM,Nick12772,2496,0 - 1,NM,chessforthesun,2627
FM,Bryanl106,2883,1 - 0,NM,egnfanclub,2430
CM,georgpapi,2336,0 - 1,IM,AlexTruskavetsky,2752
GM,Hasangatin_Ramil,2649,½ - ½,FM,jaramsdal,2362
CM,hsd2016,2602,1 - 0,GM,Goryachkina,2854
FM,Skatchkov_V,2788,1 - 0,CM,mostafa_sakha,2473
FM,MaxLeto,2540,0 - 1,FM,ArtemDyachuk,2686
FM,Umumba_FM,2585,0 - 1,IM,maracayo,2496
FM,brouetoscope,2529,1 - 0,GM,lukas_111111,2620
FM,Mikasinski,2830,1 - 0,FM,Burgsvik,2357
NM,Good_Knight_Kiss,2500,0 - 1,IM,Nicolik,2725
FM,Elprofessor21,2768,1 - 0,FM,LuisFSiles,2343
FM,Doublekk14,2362,0 - 1,IM,Tibmat,2732
FM,fly_21,2584,1 - 0,NM,elchacal664,2353
WIM,ViktoriyaTarasova,2349,0 - 1,FM,shrek4life02,2631
IM,Mackster23,2684,1 - 0,IM,YellowJacek,2356
CM,cakeuvdort,2340,0 - 1,FM,SaqoChess_Coach,2812
FM,prime-morty,2657,1 - 0,CM,rionelG,2296
FM,Azalea95,2375,0 - 1,IM,nabukatnezarr,2618
IM,MikaKarttunen,2676,1 - 0,NM,PapaieDudu,2338
NM,spiritof_stlouis,2339,0 - 1,FM,OriTaichman,2618
IM,karinachess1,2696,½ - ½,CM,Arimin1329,2427
FM,Kombinator01,2440,0 - 1,FM,Bykov_Egor,2688
GM,Cipy77,2643,1 - 0,NM,NCchamp,2388
CM,PhileKhoob,2478,0 - 1,WGM,Crazy_girl99,2729
NM,Aurielynx,2627,0 - 1,FM,gabduschew,2498
WFM,Supergiuly,2293,0 - 1,NM,Mikayel99,2600
IM,xasid81,2648,½ - ½,CM,MiguelBestard1981,2193
CM,norwaytoadog,2317,0 - 1,GM,Malev212,2727
FM,Alexei_Gubajdullin,2682,1 - 0,IM,MarceloPlaya,2357
NM,EvilMorty23,2617,½ - ½,FM,GlavkonVVS,2556
FM,betta2004,2616,1 - 0,FM,Pig-filth,2338
WFM,schachlana,2328,½ - ½,FM,Orest_Vovk,2592
IM,crazy_machine,2616,1 - 0,CM,KatakuriDono,2518
WIM,diamonds13,2420,0 - 1,NM,BerlinDrawer,2512
CM,profedechess93,2634,1 - 0,CM,Felix-Rose,2357
FM,GMthekingindian,2290,1 - 0,IM,CarlosjPineror,2726
WGM,Sanyura,2766,1 - 0,CM,le-castor-faineant,2402
FM,nitpicker,2343,1 - 0,FM,Oleg_Papayan,2592
CM,ansko1999,2621,1 - 0,FM,waltereador,2401
FM,rikchessmx,2312,1 - 0,IM,ChainedDowntohell,2583
FM,TheKnightOfBosnia,2556,1 - 0,NM,PawnEatingZombie,2167
CM,Alblooshi_Hamad,2304,0 - 1,IM,m_ezat,2748
FM,MKlose11,2729,1 - 0,NM,DoggieBones3000,2447
FM,Hirna2005,2405,0 - 1,IM,ViralduS,2728
IM,druskacik,2591,1 - 0,CM,familijatop71,2392
NM,rhwr,2369,0 - 1,FM,Gangster-accountant01,2963
FM,AllCer7,2810,1 - 0,FM,carloseduar100,2292
WFM,grozdanovic_a,2329,0 - 1,IM,Let_it_be_1,2619
IM,TERMINATOR_PC,2778,1 - 0,NM,scrambleyourbrain,2552
FM,javierfreilemartin,2271,0 - 1,IM,Smoking_Crow,2721
FM,djano,2679,1 - 0,WIM,Iuckyducky,2300
NM,MYMChessAcademy,2282,0 - 1,FM,Dacean99,2627
IM,LeninGuerra,2651,1 - 0,FM,FredddieCroderg,2202
FM,aranibos,2204,½ - ½,NM,Romkachess,2609
FM,biostatistician,2656,1 - 0,IM,BeReceptive,2443
IM,schackspelaren,2376,0 - 1,FM,chucksterf10,2682
GM,Mikhail_Golubev,2724,1 - 0,NM,dodorox,2237
FM,wild3000,2508,0 - 1,FM,Nouali_Mohamed,2567
WGM,DishonorOnYourCow,2527,0 - 1,NM,Alligatorsnappingturtle,2444
NM,giovannibrandao7,2311,½ - ½,FM,RealJerusalem,2436
IM,Nathan_Filgueiras,2488,1 - 0,FM,Englishman_18,2194
FM,osielchesslover2011,2148,0 - 1,IM,popov_m,2590
IM,santosalberto1987,2545,1 - 0,FM,ChEsper99,2234
WCM,tarno17,2236,0 - 1,CM,Russian_berezka,2655
FM,CrushingKings,2610,1 - 0,FM,FMalexhdez,2373
CM,NowInChess,2254,0 - 1,IM,Semetey,2691
FM,ahkashefi2800,2546,1 - 0,NM,SoCalJuniorChess,2272
CM,glucolisis04,2264,0 - 1,FM,HowTo2Draw,2565
NM,subham777,2661,0 - 1,NM,guineo59,2252
CM,LUISMIGUELOV,2190,1 - 0,CM,EgorYakovlev,2497
CM,Dexter_Dyke,2486,0 - 1,NM,olintoarthur,2245
CM,JaackCamel,2191,0 - 1,FM,JacksterThePro,2422
IM,Thjop,2633,1 - 0,FM,simaopdias,2353
FM,dadice10,2209,1 - 0,GM,maximnovik,2661
IM,ValeriyGrinev,2663,1 - 0,WFM,Alina_Gumerovna,2287
CM,Cuchulin,2239,1 - 0,IM,bazar-wokzal,2562
FM,Bilan_Danila,2661,1 - 0,CM,ilya2700,1952
FM,lluiss,2254,0 - 1,FM,GrigorDilanyan,2679
FM,Schattman,2499,1 - 0,FM,marvinguevara,2183
CM,jjbolanos,2225,0 - 1,NM,ChadBiryani,2483
FM,OPQRC,2551,1 - 0,FM,giulianodragon,2197
WCM,ritanovikova,2200,0 - 1,FM,Ramosha,2702
IM,zajka-molotok,2602,1 - 0,NM,expii,2110
CM,VictorFcQNK,2195,0 - 1,FM,Sinquefield,2542
GM,rhungaski,2638,1 - 0,NM,th3d4rkness,2222
FM,klifus,2242,0 - 1,CM,DIMONBANAN,2607
FM,Oliver_Wartiovaara,2657,1 - 0,NM,JRenatoMaranhao,2042
CM,campochess,2141,0 - 1,NM,Noki102,2526
FM,rdarruda,2557,1 - 0,CM,shirovin,1997
CM,Masterisback04,2166,1 - 0,FM,scandalgod,2672
FM,Defend1r,2678,1 - 0,FM,brother-bear,2046
NM,Synctel,2048,0 - 1,NM,kylelancman,2528
CM,Artyom_ChessMate,2534,1 - 0,NM,stregachess,2144
FM,Renatoforf,1847,0 - 1,FM,VacheH009,2668
IM,manitodeplomo,2588,0 - 1,FM,AungTZ,2012
FM,DonJuanEGenaro,1942,0 - 1,WIM,joksijoksi,2532
FM,dennisodessa,2729,1 - 0,WCM,katharinareinecke,2041
NM,PNEPaul,1938,0 - 1,CM,ATM622,2455
FM,x-2509604246,2608,1 - 0,FM,maurovargas01,2301
NM,IsaqueGoncalvesSanto,1872,0 - 1,FM,ShaakSiv,2536
CM,GrotBchess,2650,1 - 0,CM,cthake,1747
CM,Gyulamiryan-koryun,2146,0 - 1,FM,Ajedrez_con_German,2653
FM,Mikasinski,2830,½ - ½,GM,Hikaru,3324
IM,Nicolik,2725,0 - 1,GM,FabianoCaruana,3166
GM,ChessWarrior7197,3097,1 - 0,FM,Elprofessor21,2768
IM,Tibmat,2732,0 - 1,GM,Firouzja2003,3199
GM,Duhless,3103,1 - 0,FM,fly_21,2584
FM,shrek4life02,2631,0 - 1,GM,LyonBeast,3197
GM,DanielNaroditsky,3083,1 - 0,IM,Mackster23,2684
FM,SaqoChess_Coach,2812,1 - 0,GM,lachesisQ,3144
GM,Polish_fighter3000,3200,1 - 0,FM,prime-morty,2657
