white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,nihalsarin,3124,1 - 0,NM,Real_taiatai,2541
NM,momotaro77,2529,0 - 1,GM,Hikaru,3324
GM,HansOnTwitch,3179,1 - 0,IM,Squirlolz,2563
FM,WPWPWP-2015,2506,0 - 1,GM,Duhless,3103
GM,jefferyx,2999,1 - 0,IM,dosto07,2527
FM,Atanejhad,2487,0 - 1,GM,FairChess_on_YouTube,3130
GM,Polish_fighter3000,3200,1 - 0,FM,CDOEspiao,2560
NM,neil_doknjas,2562,1 - 0,GM,hansen,3054
GM,wonderfultime,3063,½ - ½,NM,Noki102,2526
FM,szachmistrz2500,2552,0 - 1,GM,lachesisQ,3144
GM,Jospem,3080,1 - 0,FM,HajiyevKanan,2599
FM,G10De_Arrascaeta,2563,0 - 1,GM,Msb2,3036
GM,Oleksandr_Bortnyk,3068,1 - 0,FM,arnoldpetra,2619
NM,azzbrn,2521,0 - 1,IM,MITerryble,3075
GM,BogdanDeac,3029,1 - 0,CM,dolynachess,2572
NM,SharathRk6,2561,½ - ½,GM,igorkovalenko,2916
GM,shimastream,3060,1 - 0,FM,MeisterJabo,2487
NM,Romkachess,2609,0 - 1,IM,Szparu,2831
IM,Rud_Makarian,3009,1 - 0,CM,jlf287,2465
FM,Michalczak,2405,½ - ½,FM,artin10862,3004
GM,Jakhongir-Vakhidov,2940,1 - 0,NM,toninhojit,2564
IM,Der_Honigdachs,2507,½ - ½,GM,dropstoneDP,3076
GM,Shankland,2934,1 - 0,NM,KorolDimitriy75,2482
GM,Mikhail_Golubev,2724,0 - 1,GM,Sanan_Sjugirov,2994
GM,penguingm1,2974,1 - 0,IM,chessllermo,2528
NM,N_Mullodzhanov,2627,0 - 1,IM,denizozen,2954
FM,rezamahdavi2008,2954,1 - 0,FM,dimitrisl,2482
FM,JonasGallasch,2503,0 - 1,GM,rasmussvane,2952
FM,snowlord,2931,1 - 0,IM,Larax,2591
CM,almaguerjm,2493,0 - 1,IM,ulises2013,2872
GM,Dedic8,2936,1 - 0,FM,mortngabriel,2565
CM,FuenfgegenWilly,2536,0 - 1,GM,jcibarra,2950
GM,Zhigalko_Sergei,2974,1 - 0,NM,ChadBiryani,2483
NM,ChessAdvanceUSA,2535,0 - 1,GM,eljanov,2868
GM,moro182,2888,0 - 1,IM,ericovski,2655
CM,BashiqChess,2397,0 - 1,IM,Kacparov,2992
GM,baki83,2929,1 - 0,FM,AjedrezconPeter,2579
GM,maximnovik,2661,½ - ½,IM,kingofthenil,2951
GM,Kiborg95,2839,1 - 0,FM,merinasian,2509
FM,StoreySniper,2380,0 - 1,GM,crescentmoon2411,2871
GM,AlexeiShirov,2936,1 - 0,FM,pavelalexandru07,2531
IM,vladoboch,2578,0 - 1,IM,Talibovv06,2872
GM,sergiochess83,2891,1 - 0,FM,FlemingA,2570
CM,Zephyr5000,2435,0 - 1,IM,SaraciNderim,2875
GM,TigrVShlyape,2868,1 - 0,NM,Chaubunagungamaug2,2596
CM,Charodej1,2473,0 - 1,GM,gmcorrales,2909
IM,MatthewG-p4p,2904,1 - 0,FM,Jeppesen08,2532
NM,SilverCityIndigo,2332,0 - 1,GM,frederiksvane,2980
GM,TheSilmarils,2920,1 - 0,FM,db-banana,2536
FM,VD_coach,2520,0 - 1,CM,stollenmonster,2924
GM,FXDon77,2927,1 - 0,CM,HedwigTheHowl,2654
CM,ExchangeAB,2481,0 - 1,GM,dretch,2949
GM,onyshchuk_v,2972,1 - 0,FM,McCarthyStone,2596
FM,isla88,2558,0 - 1,FM,bubeliang,2924
IM,Arash_Tahbaz,2862,0 - 1,FM,thenewfiredragon,2412
FM,ChessSG1,2517,0 - 1,IM,mbojan,2902
IM,Eduard_Limonov,2864,1 - 0,CM,Dexter_Dyke,2486
CM,garfield_pg,2235,1 - 0,IM,Kirill_Klukin,2927
GM,JSPrepz,2884,1 - 0,FM,1g60-1,2601
WIM,joksijoksi,2532,0 - 1,IM,IlyaGrigorjev,2866
GM,alexrustemov,2879,1 - 0,IM,Heydarli77,2519
IM,Chigorinetz,2592,1 - 0,GM,Aygehovit1992,2769
IM,Revan_2002,2776,½ - ½,FM,Kombinator01,2440
CM,robertoalejandro10,2555,0 - 1,GM,krzyzan94,2836
NM,Abund,2750,½ - ½,FM,Eloist,2448
FM,King_Deded4d5,2481,0 - 1,FM,CMmauricio,2691
GM,sokidze,2995,1 - 0,CM,ACollins05,2489
NM,Jahonas,2369,0 - 1,IM,SchmakAttack,2797
FM,bascheyaro,2818,1 - 0,NM,TheoSlade,2484
NM,Road2GM3000,2594,0 - 1,GM,grzechu96,2785
IM,IlanSchnaider,2835,1 - 0,WFM,Quattroporte300,2524
CM,cthulhuuu,2446,½ - ½,IM,Mops_2004,2826
IM,Yaacovn,2830,1 - 0,FM,EsmeraldasAnderson03,2525
NM,Supelyel,2498,0 - 1,GM,KNVB,2974
FM,Alex_Sahakyan2006,2700,1 - 0,FM,Godzillator,2413
NM,Kielinkei,2570,0 - 1,IM,JoakimVonAnd,2680
IM,Legit,3000,1 - 0,NM,SuanTiltado,2443
NM,Zampronha1971,2412,0 - 1,FM,GoltsevDmitry2000,2829
IM,IMRosen,2806,0 - 1,FM,MaxLeto,2540
FM,Bugcrusher,2469,0 - 1,GM,chessdjw,2744
IM,DeTimmerman,2821,1 - 0,CM,Chessdemon2019,2499
CM,topce,2515,1 - 0,GM,ChessQueen,2802
IM,DragonB70,2821,1 - 0,FM,alex1531,2499
FM,Laico,2438,0 - 1,IM,Sl4werThanYou,2792
GM,GMTalks_Youtube,2817,1 - 0,FM,jup1978,2570
FM,picturesquecheck,2496,½ - ½,IM,Lennis93,2730
IM,LikeWater,2757,0 - 1,NM,i_like_explosions,2518
FM,NajdorfPlayerc5,2771,1 - 0,IM,AradNazari,2923
FM,mac0504,2790,1 - 0,CM,Bkmzzzzz,2369
CM,Onthequiet,2573,1 - 0,GM,Hasangatin_Ramil,2649
GM,cassoulet,2835,1 - 0,NM,Chess_Star1234,2585
FM,Kopytkin,2446,0 - 1,GM,RealPerangel,2742
FM,Zorbos,2679,0 - 1,FM,MaiqMaster,2555
CM,dealshark,2341,1 - 0,FM,carokannlover213,2950
IM,lamomiajunior,2822,1 - 0,NM,fpawn,2393
FM,CruzWilliam,2444,0 - 1,FM,NMJeevanK,2731
