white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,ChessSwole,2706,1 - 0,FM,Valio_M1948,2656
CM,Bkmzzzzz,2369,0 - 1,FM,Defend1r,2678
FM,AlexPapasimakopoulos,2763,0 - 1,CM,cthulhuuu,2446
WFM,AlexandraSamaganova,2398,0 - 1,IM,vasblesk,2805
IM,IMRosen,2806,1 - 0,NM,scrambleyourbrain,2552
IM,Happy1712Drummer,2675,0 - 1,CM,Yan_Dyomin2010,2811
FM,superchthonic,2705,1 - 0,WIM,Matols,2379
NM,LogoCzar,2366,1 - 0,FM,crazy_but_lazy,2667
IM,manitodeplomo,2588,1 - 0,NM,InitiatingASC,2530
WFM,sansanathalia,2563,0 - 1,IM,BestStelker,2765
IM,aa175,2847,1 - 0,FM,toniv1,2336
FM,AsaHoffmann,2418,0 - 1,FM,Gunner214,2784
FM,GalaxyRoman,2771,1 - 0,CM,VOneChess,2326
NM,Bond_7_7_7,2471,0 - 1,GM,Hamisandwich,2696
GM,Mikhail_Golubev,2724,1 - 0,FM,leschebaza,2568
NM,northridgehawk,2468,1 - 0,GM,GMG,2815
GM,PepeCuenca,2759,1 - 0,FM,Akylbek2021,2503
CM,norwaytoadog,2317,0 - 1,IM,Susal_De_Silva,2703
GM,TregubovP,2718,1 - 0,CM,Witty_Alien,2298
FM,Akhayan,2390,0 - 1,GM,Aygehovit1992,2769
GM,Tash_Boy,2790,1 - 0,NM,GAO,2459
NM,crosky,2404,0 - 1,GM,Goryachkina,2854
FM,IwkooO,2735,1 - 0,CM,HanSchut,2297
WIM,ViktoriyaTarasova,2349,0 - 1,FM,NikitaShandrygin,2817
IM,jumpingknight20,2835,1 - 0,FM,kidagent,2339
WGM,ChessVigoa,2292,0 - 1,CM,Jimonios,2698
FM,Hanging_pointer,2722,1 - 0,FM,David_George21,2609
WFM,Pikku_Myy73,2268,0 - 1,FM,BilicVladimir,2634
IM,jk13,2696,1 - 0,FM,Veleamater,2376
NM,rhwr,2369,0 - 1,FM,luckyswitchback,2844
IM,Airquake,2880,1 - 0,NM,bobo_panda,2405
CM,Roedor,2539,0 - 1,IM,GothamChess,2761
IM,GeorgiosSouleidis,2710,1 - 0,FM,martinmena,2201
NM,MapleCheck,2363,0 - 1,FM,Yeritsyaan,2680
CM,profedechess93,2634,0 - 1,FM,pirulillo,2363
NM,zenitushka,2352,1 - 0,IM,aliba25,2643
IM,nekotyanof,2724,1 - 0,NM,dogrem5,2406
WFM,AlessiaSanteramo,2367,0 - 1,FM,ahkashefi2800,2546
FM,FoxOnTheRun97,2752,1 - 0,CM,Felix-Rose,2357
IM,matagordo,2446,0 - 1,IM,Alex_Banzea,2723
IM,Boundless_Strike,2618,0 - 1,FM,ASKA538,2378
CM,tomobeast,2211,0 - 1,FM,littlepinkyboy,2511
FM,andrew-blr,2578,1 - 0,FM,PetrolulSah,2263
CM,KnightmareJoker,2427,0 - 1,FM,LeRoidesChampions,2810
IM,Let_it_be_1,2619,1 - 0,FM,JosephRyan,2276
NM,enriquebutti,2142,1 - 0,IM,Smoking_Crow,2721
NM,KChor05,2603,1 - 0,CM,JaackCamel,2191
WFM,Alenzer,2197,0 - 1,IM,karinachess1,2696
WGM,Sanyura,2766,1 - 0,WIM,lilylg,2285
WIM,chezzgirl04,2318,0 - 1,IM,CarlosjPineror,2726
FM,NMJeevanK,2731,1 - 0,WNM,vaniavindy,2126
FM,willcab71,2113,0 - 1,FM,Sadykov_Ramil,2632
FM,Superfelix,2607,1 - 0,NM,KSho99,2168
WFM,mikheeva86,2391,0 - 1,GM,Roman_Ovetchkin,2658
GM,volodja49,2552,1 - 0,CM,shirovin,1997
WFM,PattyCastillo,1904,1 - 0,CM,GameOverBro,2474
FM,Oliver_Wartiovaara,2657,0 - 1,NM,MikeWizard,2260
CM,Carlos-Godoy,2198,0 - 1,FM,djano,2679
FM,HajiyevKanan,2599,1 - 0,CM,ljm509,2015
WFM,DianaMirza,1999,0 - 1,FM,Statham,2811
CM,Russian_berezka,2655,1 - 0,WCM,UnTucopalaTimba,2119
NM,Maluco_do_Natal_00,2074,0 - 1,IM,WilsonPalencia21,2605
GM,PabloZarnicki,2643,1 - 0,CM,jraosam,1910
NM,pfalcon1949,1922,0 - 1,IM,albi1999,2726
GM,Ginger_GM,2631,1 - 0,IM,FLYD,2599
IM,IMRosen,2806,0 - 1,GM,Hikaru,3324
GM,Firouzja2003,3199,1 - 0,CM,Yan_Dyomin2010,2811
FM,superchthonic,2705,0 - 1,GM,FairChess_on_YouTube,3130
GM,Polish_fighter3000,3200,1 - 0,IM,manitodeplomo,2588
IM,BestStelker,2765,0 - 1,GM,Jospem,3080
GM,mishanick,3109,0 - 1,IM,aa175,2847
FM,Gunner214,2784,0 - 1,GM,HansOnTwitch,3179
IM,Sina_Movahed,3044,0 - 1,FM,GalaxyRoman,2771
GM,Hamisandwich,2696,½ - ½,GM,BogdanDeac,3069
GM,wonderfultime,3063,1 - 0,GM,Mikhail_Golubev,2724
GM,PepeCuenca,2759,0 - 1,GM,AnishOnYoutube,3072
GM,DenLaz,3161,1 - 0,IM,Susal_De_Silva,2703
GM,TregubovP,2718,0 - 1,GM,vi_pranav,3032
GM,Oleksandr_Bortnyk,3068,0 - 1,GM,Aygehovit1992,2769
