white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Vaathi_Coming,2934,1 - 0,NM,Kleyton_Lima,2530
GM,Elsa167,2782,1 - 0,NM,dcremisi,2632
GM,XDPS,2812,1 - 0,FM,Hilary46,2627
GM,GMRafpig,2790,½ - ½,IM,The_Machine04,2781
NM,Chess_Caio2007,2700,0 - 1,GM,dretch,2871
GM,GMMikhailKazakov,2505,1 - 0,IM,mbojan,2948
GM,BrandonJacobson,2958,1 - 0,IM,Thjop,2661
GM,Njal28,3041,1 - 0,IM,Zakaryan_David,2642
GM,Oleksandr_Bortnyk,3111,½ - ½,GM,MagnusCarlsen,3313
GM,nihalsarin,3211,1 - 0,GM,jcibarra,2970
GM,SpeedofLight0,3111,0 - 1,GM,Polish_fighter3000,3057
GM,LiemLe,3043,0 - 1,IM,Rud_Makarian,3004
GM,vi_pranav,3103,½ - ½,GM,mishanick,3038
GM,BillieKimbah,2938,½ - ½,GM,Firouzja2003,3188
GM,Vaathi_Coming,2934,0 - 1,GM,Jospem,3102
GM,dropstoneDP,3016,1 - 0,GM,Sanan_Sjugirov,2931
IM,mind1mover,2810,0 - 1,GM,OparinGrigoriy,3086
GM,BogdanDeac,3106,1 - 0,NM,MightyGMpretender,2882
GM,dretch,2871,0 - 1,GM,Elsa167,2782
GM,GMMikhailKazakov,2505,1 - 0,GM,XDPS,2812
GM,Njal28,3041,1 - 0,GM,HeartAblaze,2844
IM,GaiozNigalidze,2758,1 - 0,GM,BrandonJacobson,2958
GM,jefferyx,3067,1 - 0,GM,Byniolus,2842
GM,Angry_Twin,2977,1 - 0,GM,Hasangatin_Ramil,2704
IM,The_Machine04,2781,0 - 1,GM,Denis_Makhnyov,2969
FM,snowlord,2931,1 - 0,GM,gahryman,2610
IM,GianmarcoVaR,2866,0 - 1,FM,dmitrijiIM,2888
NM,TheCavemanChess,2668,0 - 1,IM,Mykola-Bortnyk,3052
GM,Beca95,2990,1 - 0,FM,AlexPapasimakopoulos,2723
GM,Hrant_ChessMood,2963,1 - 0,NM,Arifarsky,2741
GM,Fandorine,2924,0 - 1,IM,RuppertPumpkin,2648
IM,GothamChess,2835,1 - 0,GM,vladislavkovalev,2875
FM,Bauman_Guy,2907,½ - ½,CM,Andrei_Skvortsov,2794
GM,Jospem,3102,½ - ½,GM,nihalsarin,3211
GM,Polish_fighter3000,3057,0 - 1,IM,Rud_Makarian,3004
GM,MagnusCarlsen,3313,1 - 0,GM,OparinGrigoriy,3086
GM,BogdanDeac,3106,½ - ½,GM,vi_pranav,3103
GM,Firouzja2003,3188,1 - 0,GM,Elsa167,2782
GM,mishanick,3038,½ - ½,GM,dropstoneDP,3016
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,GMMikhailKazakov,2505
GM,BillieKimbah,2938,1 - 0,GM,LiemLe,3043
GM,K_A_S_T_O_R,2838,0 - 1,GM,Njal28,3041
IM,Szparu,2863,1 - 0,GM,jefferyx,3067
GM,jcibarra,2970,1 - 0,IM,Sokoloco,2659
IM,ameetghasi100,2721,0 - 1,GM,SpeedofLight0,3111
FM,BardArtem,2826,1 - 0,GM,Angry_Twin,2977
GM,Denis_Makhnyov,2969,0 - 1,GM,krzyzan94,2826
GM,Sanan_Sjugirov,2931,0 - 1,IM,Korchmar_Vasiliy,2711
IM,GaiozNigalidze,2758,½ - ½,GM,Vaathi_Coming,2934
FM,snowlord,2931,0 - 1,FM,Ali_rastbod,2730
FM,sofaceindisguise,2725,0 - 1,FM,dmitrijiIM,2888
IM,RuppertPumpkin,2648,0 - 1,IM,Mykola-Bortnyk,3052
GM,Beca95,2990,1 - 0,IM,GothamChess,2835
IM,AaravDenglaOfficial,2691,0 - 1,GM,Hrant_ChessMood,2963
GM,Zhigalko_Sergei,2912,1 - 0,CM,reevecanada,2678
GM,chito89,2913,1 - 0,GM,Mikhail_Golubev,2598
GM,TigrVShlyape,2866,1 - 0,NM,Kleyton_Lima,2530
GM,MikaelyanArman,2937,0 - 1,FM,JoseRemolar,2409
IM,Rud_Makarian,3004,0 - 1,GM,MagnusCarlsen,3313
GM,nihalsarin,3211,½ - ½,GM,Oleksandr_Bortnyk,3111
GM,Jospem,3102,½ - ½,GM,Firouzja2003,3188
GM,Polish_fighter3000,3057,1 - 0,GM,BillieKimbah,2938
GM,vi_pranav,3103,0 - 1,GM,Hrant_ChessMood,2963
GM,Njal28,3041,1 - 0,GM,Zhigalko_Sergei,2912
GM,dropstoneDP,3016,0 - 1,GM,chito89,2913
GM,TigrVShlyape,2866,1 - 0,GM,jcibarra,2970
GM,Cayse,2795,0 - 1,GM,BogdanDeac,3106
GM,SpeedofLight0,3111,0 - 1,IM,Szparu,2863
GM,mishanick,3038,1 - 0,FM,BardArtem,2826
FM,dmitrijiIM,2888,1 - 0,GM,krzyzan94,2826
IM,Mykola-Bortnyk,3052,0 - 1,FM,Ali_rastbod,2730
FM,JoseRemolar,2409,½ - ½,GM,Beca95,2990
IM,Korchmar_Vasiliy,2711,0 - 1,GM,Vaathi_Coming,2934
GM,Elsa167,2782,1 - 0,GM,Binary010,2901
GM,XDPS,2812,1 - 0,IM,GaiozNigalidze,2758
IM,mind1mover,2810,0 - 1,IM,mbojan,2948
GM,alexrustemov,2899,½ - ½,IM,Squirlolz,2512
GM,GMMikhailKazakov,2505,0 - 1,NM,MightyGMpretender,2882
FM,Emp3rador,2630,0 - 1,GM,Denis_Makhnyov,2969
IM,AaravDenglaOfficial,2691,0 - 1,GM,vugarrasulov,2933
NM,Arifarsky,2741,0 - 1,FM,snowlord,2931
GM,sergiochess83,2983,1 - 0,FM,Makswolf200817,2760
FM,Bauman_Guy,2907,½ - ½,GM,oskariot,2742
GM,MagnusCarlsen,3313,1 - 0,GM,nihalsarin,3211
FM,dmitrijiIM,2888,0 - 1,GM,Polish_fighter3000,3057
GM,Firouzja2003,3188,1 - 0,GM,mishanick,3038
GM,Hrant_ChessMood,2963,½ - ½,GM,Njal28,3041
GM,chito89,2913,½ - ½,GM,Jospem,3102
GM,Oleksandr_Bortnyk,3111,0 - 1,GM,TigrVShlyape,2866
IM,Szparu,2863,0 - 1,IM,Rud_Makarian,3004
FM,Ali_rastbod,2730,½ - ½,GM,BogdanDeac,3106
