white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
IM,Barmen_EV,2615,0 - 1,GM,Hikaru,3324
GM,GHANDEEVAM2003,3180,1 - 0,WFM,Lady_Nika,2553
FM,Truequitos,2618,0 - 1,GM,MagnusCarlsen,3256
GM,SpeedofLight0,3069,0 - 1,CM,ShahMatKanal,2521
CM,bilosuvenosu06,2575,0 - 1,GM,DenLaz,3161
GM,HansOnTwitch,3179,1 - 0,FM,AA95,2500
FM,Antosha_Chekhonte,2595,0 - 1,GM,Jospem,3080
GM,mishanick,3109,1 - 0,NM,chess_peak,2556
CM,yesilikeorangejuice,2599,0 - 1,GM,Msb2,3016
GM,Javokhir_Sindarov05,3169,1 - 0,FM,esskeettit,2550
FM,EsmeraldasAnderson03,2525,0 - 1,GM,Oleksandr_Bortnyk,3095
GM,tptagain,3030,1 - 0,NM,chess_blitz00,2636
WFM,GulenayAydin,2545,½ - ½,GM,champ2005,3006
GM,dropstoneDP,3076,1 - 0,CM,komogro,2527
FM,myburger,2681,½ - ½,GM,Jakhongir-Vakhidov,2940
GM,Prizant_academy,3183,1 - 0,FM,Brown_Mamba24,2647
FM,whitemirrorninja,2548,0 - 1,GM,aquarium76,3036
GM,BogdanDeac,3029,1 - 0,WFM,malakismayil,2592
FM,CristhianPortalR,2482,0 - 1,GM,vi_pranav,3032
IM,Rud_Makarian,3009,0 - 1,CM,kacperkarwowski,2601
NM,IC3S2,2549,1 - 0,GM,GOGIEFF,3056
GM,Andreikka,3033,1 - 0,FM,Silent-Killer100,2660
FM,Mr_ruthless,2617,0 - 1,GM,AryanTari,2986
GM,FGHSMN,2935,1 - 0,FM,english_player_89,2704
IM,chessllermo,2528,1 - 0,GM,Volodar_Murzin,3026
GM,TigrVShlyape,2868,½ - ½,IM,Dmitry_Ponomarev,2347
NM,Noki102,2526,0 - 1,GM,Beca95,3015
GM,VladimirKramnik,3040,1 - 0,NM,SipahiPower,2548
NM,FollowRivers,2460,0 - 1,GM,Shield12,2954
GM,FormerProdigy,2937,1 - 0,FM,Hudijegszid,2534
FM,Sinquefield,2542,0 - 1,IM,Zohid6,2932
GM,Dedic8,2936,1 - 0,WIM,Cxrjs,2458
FM,VacheH009,2668,½ - ½,FM,Bauman_Guy,3005
FM,rezamahdavi2008,2948,0 - 1,CM,MVM2008,2578
FM,betta2004,2616,0 - 1,GM,Macho_2006,2929
IM,ChessFighter_2011,3026,1 - 0,CM,GameOverBro,2474
FM,MFatigue,2533,0 - 1,GM,BlueWizzard,2965
IM,Hatsummei,3017,1 - 0,CM,Magionator,2339
GM,GM_Huschenbeth,2639,0 - 1,GM,Nemegejas,2830
GM,Sychev_Klementy,3002,1 - 0,FM,Kotofeyca,2540
FM,HelenaWalker2912,2523,0 - 1,FM,artin10862,2980
IM,aa175,2847,1 - 0,IM,JordanLoyd2020,2546
CM,GilbertoHernandezAmura,2647,0 - 1,GM,kleinebeer98,2821
IM,Moultino06,2880,0 - 1,FM,Schack-Hugo,2547
IM,DawidCzerw,2481,0 - 1,GM,nrvisakh,2945
GM,Fandorine,2997,1 - 0,FM,G10De_Arrascaeta,2563
WFM,ccccvhhhj,2534,1 - 0,IM,Kirill_Klukin,2927
IM,MatthewG-p4p,2904,½ - ½,IM,KevinGeorgeMicheal,2646
FM,jup1978,2570,0 - 1,GM,sergoy,3028
GM,eljanov,2868,1 - 0,FM,pavelalexandru07,2531
FM,CristianS27,2605,1 - 0,FM,snowlord,2920
IM,Talibovv06,2872,½ - ½,GM,GMMikhailKazakov,2507
FM,JoJoZP,2618,0 - 1,GM,Zhigalko_Sergei,2974
GM,Sam_ChessMood,2987,1 - 0,FM,MaxLeto,2540
FM,MusicCityMaster,2419,0 - 1,FM,Iball95,2908
GM,shimastream,3060,1 - 0,CM,EgorYakovlev,2497
FM,SHIVACalypso,2532,0 - 1,GM,rasmussvane,2986
GM,Alexander_Donchenko,2843,1 - 0,NM,Chaubunagungamaug2,2596
FM,WindWhistler11,2530,0 - 1,GM,Vaathi_Coming,2998
GM,vladislavkovalev,2826,1 - 0,CM,ACollins05,2489
CM,VaglioSagan,2519,0 - 1,FM,ilqar_74,2842
