white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
WFM,Jojo_898,2450,0 - 1,GM,maciek_92,3000
GM,FXDon77,2927,1 - 0,CM,Schachmalanders,2486
CM,MVM2008,2578,1 - 0,GM,Kobalia,2778
IM,LiamPutnam2008,2977,1 - 0,CM,nj123456,2456
IM,poummba,2499,0 - 1,IM,Sattarov_Bobur,2828
FM,Hope_6,2835,1 - 0,CM,ExchangeAB,2481
CM,DmitriiZakurdaev,2412,½ - ½,GM,Nemegejas,2830
GM,sokidze,2995,0 - 1,GM,GM_Huschenbeth,2639
WGM,KetiTsatsalashvili,2351,0 - 1,GM,A-Fier,2820
GM,NewBornNow,2787,1 - 0,FM,Lucky_Puncher,2606
NM,ploxoi,2475,0 - 1,IM,Szparu,2831
FM,GoltsevDmitry2000,2829,1 - 0,CM,RCone,2401
FM,WiseKing_08,2451,0 - 1,FM,BardArtem,2880
FM,AlexPapasimakopoulos,2763,1 - 0,CM,koncheto,2581
FM,Der_Balak_3Halak,2535,0 - 1,IM,CSB7,2831
IM,TimAina,2827,1 - 0,FM,PavelChernomordik,2503
FM,Schattman,2499,0 - 1,NM,Abund,2750
IM,Arystanner,2928,1 - 0,FM,szachmistrz2500,2552
CM,BallottiLuca,2387,0 - 1,NM,traviscottofficial,2741
IM,fighter2jz,2809,1 - 0,WIM,amylazy,2438
NM,KorolDimitriy75,2482,0 - 1,FM,ValentunHulka,2905
GM,DavidGavrilescu18,2913,1 - 0,NM,esrosenberg,2376
FM,renehp,2428,0 - 1,IM,Korchmar_Vasiliy,2708
FM,bangchess21,2811,1 - 0,CM,Daniel_Salinas,2419
FM,Licancabur,2510,0 - 1,IM,GelmanAlexander,2735
IM,IM_ArthurDW08,2814,1 - 0,FM,Colombiano07,2529
IM,manipun1,2419,0 - 1,FM,Witik,2759
GM,Evgeny81,2763,1 - 0,CM,Bkmzzzzz,2369
CM,cthulhuuu,2446,0 - 1,GM,joshdaruca,2768
GM,Fighterman91,2783,1 - 0,CM,Cheer_Down,2457
IM,atalz0,2487,0 - 1,IM,Hongjin,2470
IM,rquery98,2815,1 - 0,FM,LimeInTheCoconut,2490
CM,shailendrabajpai,2501,0 - 1,GM,SirGerhard,2677
FM,angelgab3,2716,1 - 0,FM,wild3000,2508
IM,ikhasu,2567,1 - 0,FM,Suleyman_Chess06,2852
GM,chessdjw,2744,1 - 0,NM,semchik90,2338
FM,Rozhkov_V,2487,0 - 1,GM,AvitalBor,2894
IM,DreamsAreFake,2719,1 - 0,FM,viniciusrego,2396
FM,picturesquecheck,2496,1 - 0,IM,blitzking1729,2813
IM,LikeWater,2757,0 - 1,FM,nicolasbatista3,2435
FM,emeli_chess,2477,0 - 1,GM,Nikolakis2014,2755
GM,Rodalquilar,2798,1 - 0,FM,pr1105,2418
WFM,NastyaHn,2533,1 - 0,IM,Brave_spirit12,2700
FM,Makswolf200817,2719,1 - 0,FM,Kotofeyca,2540
NM,TioCridineno,2381,½ - ½,CM,Yan_Dyomin2010,2811
IM,Zurability,2695,1 - 0,IM,IndianSchoolOfSuffering,2464
CM,KanalSzachowy,2398,0 - 1,FM,Andrey_Klymchuk,2771
FM,Rud_2008,2796,½ - ½,FM,Smile2005,2461
CM,topce,2515,0 - 1,IM,Sammed_Shete,2631
IM,MyDream003,2853,1 - 0,WIM,annamaja,2462
FM,CristhianPortalR,2482,1 - 0,FM,Flameboard08,2742
GM,Mikhail_Bryakin,2886,1 - 0,NM,ReinisUz,2564
NM,falzehope0,2417,0 - 1,FM,Rurep26,2661
IM,lamomiajunior,2822,1 - 0,NM,OppieZippy,2401
IM,the_blue_pill,2470,½ - ½,IM,HamedWafa4,2844
IM,jens1102,2592,½ - ½,WIM,MdChess1734,2422
CM,unbreakablepawn35,2421,½ - ½,IM,PavelShkapenko,2817
IM,mr_gustavo,2857,1 - 0,WFM,Elnaz_Kaliakhmet,2524
IM,Happy1712Drummer,2675,0 - 1,GM,ChessQueen,2802
CM,Andrei_Skvortsov,2737,1 - 0,NM,InitiatingASC,2530
FM,Kopytkin,2446,0 - 1,IM,Mops_2004,2826
IM,AlexTruskavetsky,2752,1 - 0,CM,GrotBchess,2650
FM,leschebaza,2568,0 - 1,GM,Goryachkina,2854
GM,CaspiIsrael,2755,1 - 0,WIM,Matols,2379
CM,dealshark,2341,0 - 1,IM,FontVella8,2814
CM,ansko1999,2621,0 - 1,FM,Al_Shima,2421
WFM,Preobrazhenska_D2011,2514,1 - 0,IM,GeorgiosSouleidis,2710
IM,Lennis93,2730,1 - 0,NM,elchacal664,2353
FM,Kapitan_Bayan,2356,0 - 1,FM,Leonid_Starozhilov,2728
GM,Tocras,2871,1 - 0,WIM,NewYearGirl,2321
CM,NovakRatko,2479,0 - 1,FM,NikitaShandrygin,2817
IM,bazar-wokzal,2562,1 - 0,FM,Carlitus2004,2441
FM,fabianvivasz,2523,0 - 1,GM,Aygehovit1992,2769
FM,Ali_rastbod,2768,1 - 0,CM,RizaBregu,2344
WFM,margarita_2703,2275,1 - 0,FM,FoxOnTheRun97,2752
IM,chegueps,2695,0 - 1,CM,conformalfunction,2256
FM,inagreV,2537,0 - 1,IM,Kildepiotr,2677
GM,Mikhail_Golubev,2724,0 - 1,FM,Rosh1610,2658
FM,leclash,2552,1 - 0,FM,tuschessCM1,2771
IM,karinachess1,2696,½ - ½,FM,Dubs123,2555
WCM,BashirliSaadat,2448,1 - 0,IM,Vahe_Danielyan,2713
IM,JonaszBaum,2792,1 - 0,NM,CrazyMartian,2419
NM,Kostukov_Alex,2321,1 - 0,IM,kakarot_001,2800
FM,wqws,2905,1 - 0,IM,jimmy-schlumpf,2305
FM,BeautiFullMindChess,2229,0 - 1,FM,NovozhilovSemen,2826
GM,Iskusnyh,2655,1 - 0,FM,Shivananda1964,2474
WFM,Me_ch_an,2433,0 - 1,FM,FREDERICKtheMATE,2772
FM,only_strong_moves,2784,½ - ½,FM,mertfelin,2444
CM,hsd2016,2602,0 - 1,FM,djano,2679
GM,yaguigor,2718,1 - 0,FM,nicolochessit,2547
