white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3324,1 - 0,FM,DontMessWithTheFish,2703
FM,miaou33,2671,0 - 1,GM,HansOnTwitch,3179
GM,Firouzja2003,3199,1 - 0,CM,Jesseinkman,2483
FM,Schattman,2499,0 - 1,GM,Duhless,3103
GM,mishanick,3109,1 - 0,FM,WindWhistler11,2530
FM,xakevicius91,2470,0 - 1,GM,DenLaz,3161
GM,FairChess_on_YouTube,3130,1 - 0,FM,AllCer7,2810
GM,maximnovik,2661,0 - 1,IM,MITerryble,3075
GM,viditchess,3013,1 - 0,FM,Hananmo,2551
WGM,Sanyura,2766,0 - 1,GM,lachesisQ,3144
GM,Salem-AR,3113,1 - 0,FM,betta2004,2616
FM,JM05C,2735,0 - 1,GM,Msb2,3036
GM,GM_dmitrij,3030,1 - 0,GM,yobdc,2608
CM,Daaksboy,2528,0 - 1,GM,BilodeauA,2990
GM,vi_pranav,3032,1 - 0,FM,Lovetov,2613
FM,Rosh1610,2658,0 - 1,GM,AryanTari,2990
GM,Javokhir_Sindarov05,3169,1 - 0,FM,Orest_Vovk,2592
FM,dennisodessa,2729,0 - 1,GM,frederiksvane,2980
FM,rezamahdavi2008,2948,1 - 0,FM,Pingah9,2612
IM,Triumphmate,2638,0 - 1,GM,sergoy,3026
GM,vugarrasulov,3010,1 - 0,FM,colegiodemadrid,2553
GM,ErikBlomqvist,2654,0 - 1,GM,FormerProdigy,2937
GM,gurelediz,3104,1 - 0,FM,alpope,2643
FM,CristhianPortalR,2482,0 - 1,GM,rasmussvane,2952
GM,Volodar_Murzin,3026,1 - 0,FM,Bilan_Danila,2661
IM,imdvb6307,2444,0 - 1,GM,Lestofante90,2893
IM,Szparu,2831,1 - 0,FM,chessdragon7161,2619
IM,KubaGepard,2711,0 - 1,GM,DominguezOnYoutube,2976
IM,pheonixking2000,2942,1 - 0,FM,DeArron_Fox,2675
FM,fabianvivasz,2523,0 - 1,IM,Talibovv06,2872
IM,KhBegmuratov,2965,1 - 0,CM,kacperkarwowski,2601
NM,FollowRivers,2460,0 - 1,GM,Prizant_academy,3183
IM,Murad_Ibrahimli,3002,1 - 0,FM,Golubovsky,2577
CM,MMAHDI2013,2678,½ - ½,GM,tptagain,3030
GM,TigrVShlyape,2868,1 - 0,NM,KorolDimitriy75,2482
NM,Flaccidmoves,2394,0 - 1,GM,Durarbayli,2931
GM,dropstoneDP,3076,½ - ½,NM,AwareIdea,2585
GM,Etoilegeniale,2667,0 - 1,IM,mbojan,2902
GM,shimastream,3060,1 - 0,CM,FerAsensio2024,2573
FM,Milop27,2408,0 - 1,GM,Anton_Demchenko,3024
IM,AlmasRakhmatullaev,2953,0 - 1,CM,surrenderPLS,2519
FM,SHIVACalypso,2532,½ - ½,IM,klimkoj,2879
GM,Jakhongir-Vakhidov,2940,1 - 0,CM,SultaiC,2536
IM,chessllermo,2528,0 - 1,GM,Sanan_Sjugirov,2994
GM,evgchess5,2907,1 - 0,FM,kamilianin235,2554
FM,Erdnya15,2660,0 - 1,FM,artin10862,3004
GM,Zhigalko_Sergei,2974,1 - 0,CM,VaglioSagan,2519
NM,Manukyan_Artak,2559,0 - 1,GM,starworld123,2977
GM,Jumbo,2953,1 - 0,FM,VacheH009,2668
FM,PedroGil25,2549,0 - 1,GM,Nitzan_Steinberg,2895
IM,Keranke,3000,1 - 0,NM,SipahiPower,2548
IM,zajka-molotok,2602,1 - 0,GM,mitrabhaa,2964
GM,Dedic8,2936,1 - 0,CM,GameOverBro,2474
IM,KevinGeorgeMicheal,2646,0 - 1,FM,Bauman_Guy,3005
GM,Angry_Twin,2995,1 - 0,FM,SaiHanThiha,2576
NM,harshu27,2466,0 - 1,GM,FGHSMN,2935
FM,ilqar_74,2842,1 - 0,CM,kinga2008,2681
CM,brunomorado,2333,0 - 1,GM,kleinebeer98,2821
GM,AlexeiShirov,2936,0 - 1,FM,MaiqMaster,2555
FM,patzer-reloaded,2509,0 - 1,GM,bancsoo,3003
FM,Iball95,2908,1 - 0,NM,ploxoi,2475
FM,BrokenFritz,2548,½ - ½,GM,FXDon77,2927
IM,MatthewG-p4p,2912,1 - 0,FM,McCarthyStone,2596
GM,Mikhail_Golubev,2724,0 - 1,IM,Aradhya2000,2774
IM,GilbertElroy,2938,½ - ½,FM,Kotofeyca,2540
GM,YatoroRen,2624,0 - 1,GM,Kiborg95,2839
GM,BirdMaster3000,2708,1 - 0,FM,Funki_123,2701
FM,CristianS27,2605,0 - 1,IM,IlyaGrigorjev,2866
NM,MightyGMpretender,2886,1 - 0,FM,G10De_Arrascaeta,2563
FM,OneTrickPony_82,2403,0 - 1,GM,KuzubovYuriy,2958
GM,AvitalBor,2894,1 - 0,CM,Dexter_Dyke,2486
CM,andrzej,2415,0 - 1,IM,scarabee43,2945
GM,vladislavkovalev,2826,1 - 0,FM,Attacker_2006,2572
