white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,ilqar_74,2842,1 - 0,CM,Onthequiet,2573
FM,StasSB,2673,½ - ½,GM,ChessSharkz,2921
GM,AlexeiShirov,2936,1 - 0,FM,Casper,2565
FM,KhamzinOlzhas,2329,1 - 0,FM,ValentunHulka,2905
GM,Rakhmanov_Aleksandr,2861,1 - 0,FM,picturesquecheck,2496
NM,semchik90,2338,1 - 0,GM,GMAkobianSTL,2965
CM,vovachesss,2801,1 - 0,NM,Zampronha1971,2412
NM,Enriquack,2489,0 - 1,IM,IM_ArthurDW08,2814
FM,Alen_Yeremyann,2789,1 - 0,NM,SilverCityIndigo,2332
FM,Schattman,2499,0 - 1,CM,Tikhon_Popov,2753
IM,kids2010,2830,1 - 0,NM,Agent-JL,2571
IM,AttilaTurzo,2537,0 - 1,GM,Hamisandwich,2696
IM,MonsterChess_uz,2832,1 - 0,IM,vladoboch,2578
FM,EGK_06,2602,0 - 1,IM,GothamChess,2761
GM,Kobalia,2778,1 - 0,CM,tomesao,2476
CM,Laurin_2009,2377,0 - 1,IM,Revan_2002,2776
IM,tsaruk_maks,2926,1 - 0,FM,chessburger_tv,2507
FM,nicolochessit,2547,1 - 0,FM,Witik,2759
FM,suyu28,2856,1 - 0,WFM,Elnaz_Kaliakhmet,2524
GM,Niktlt,2444,0 - 1,IM,PiliposyanRobertChess,2836
FM,RandomNoob04,2726,1 - 0,FM,ljuks68,2476
FM,Redzishchess,2490,0 - 1,GM,Rodalquilar,2798
GM,Alexchess1984,2758,0 - 1,FM,NajdorfPlayerc5,2771
WFM,NastyaHn,2533,0 - 1,FM,Gangster-accountant01,2963
FM,AllCer7,2810,1 - 0,FM,Professor_FM,2616
FM,anemih,2520,1 - 0,FM,SahibSinghKnight,2729
IM,Lennis93,2730,0 - 1,FM,01Roman,2492
FM,CristhianPortalR,2482,0 - 1,GM,Aygehovit1992,2769
IM,atbenina64,2804,1 - 0,FM,patzer-reloaded,2509
NM,Zheenbekov86,2447,1 - 0,IM,GelmanAlexander,2735
IM,sganerdene,2956,1 - 0,WCM,BashirliSaadat,2448
IM,IndianSchoolOfSuffering,2464,½ - ½,IM,Legit,3000
FM,carokannlover213,2950,½ - ½,IM,Exploring_Chess,2433
NM,LeoWin2012,2331,0 - 1,FM,Leonid_Starozhilov,2728
IM,LikeWater,2757,1 - 0,FM,Ceejay271,2417
FM,AlainBruxelles,2351,0 - 1,FM,Tactrics64,2807
IM,Flawless_Fighter,2775,1 - 0,CM,hristos03,2471
WIM,chessmachine14,2483,0 - 1,IM,Akewjon,2885
FM,Karateloru,2746,1 - 0,FM,Faridov2010,2399
FM,IsuruAlahakoon,2494,½ - ½,GM,js20000,2821
NM,Abund,2750,½ - ½,NM,FollowRivers,2460
FM,Vincefm,2487,0 - 1,GM,Tash_Boy,2790
IM,Losingexperience,2726,1 - 0,WFM,Yurasova_Daria,2432
CM,Ruslan_0807,2412,½ - ½,IM,Kildepiotr,2677
FM,NikitaShandrygin,2817,1 - 0,NM,Yyaroslavchess2010,2449
FM,micke12a,2384,0 - 1,FM,juancruzarias,2732
IM,nekotyanof,2724,1 - 0,CM,cochess777,2408
FM,SinisterKnight8,2470,0 - 1,GM,Gabrielian_Artur,2849
FM,Alex_Sahakyan2006,2700,1 - 0,CM,bikbon,2485
NM,BaylavChess,2413,0 - 1,GM,chessdjw,2744
FM,ChessSwole,2706,0 - 1,NM,Flaccidmoves,2394
IM,TomLiu777,2362,1 - 0,CM,ChessPlayer-24,2649
FM,Evan_Attaker,2693,0 - 1,FM,Tactican_228,2468
CM,kinga2008,2681,0 - 1,NM,woodpusher52,2454
FM,Mortred777,2731,0 - 1,FM,Ergali_Suleimen,2784
WGM,Irina_Mikhaylova,2401,0 - 1,IM,IMRosen,2806
IM,mr_gustavo,2857,1 - 0,NM,chenrip,2487
NM,toninhojit,2564,1 - 0,IM,MikaKarttunen,2676
FM,only_strong_moves,2784,1 - 0,FM,rikchessmx,2312
