white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
FM,Siemba,2463,0 - 1,GM,Hikaru,3276
GM,MagnusCarlsen,3313,1 - 0,FM,toog,2623
IM,Ordekalog,2772,0 - 1,GM,DanielNaroditsky,3049
GM,LyonBeast,3125,1 - 0,GM,maximnovik,2615
IM,ChesterF,2508,0 - 1,GM,Firouzja2003,3188
GM,GHANDEEVAM2003,3044,1 - 0,GM,MathiasWomacka,2543
IM,Pelopidass,2565,0 - 1,GM,nihalsarin,3211
GM,Bigfish1995,3064,1 - 0,IM,BigAl,2536
CM,zverr1,2511,½ - ½,GM,mishanick,3038
GM,Msb2,3112,1 - 0,FM,Gameking51,2563
FM,JERO-8914,2530,0 - 1,GM,amintabatabaei,3095
GM,Grischuk,3058,1 - 0,FM,Jeffinho023,2500
FM,Marcin,2550,0 - 1,GM,Baku_Boulevard,3136
GM,FairChess_on_YouTube,3064,1 - 0,FM,Casper,2571
FM,biostatistician,2568,0 - 1,GM,Polish_fighter3000,3057
GM,dropstoneDP,3016,1 - 0,FM,vplotkin,2429
NM,2346PL,2509,½ - ½,GM,Oleksandr_Bortnyk,3111
GM,GroovyKettle,2973,1 - 0,CM,TheOneTrapMan,2797
FM,Haykoooo0o,2419,0 - 1,GM,vi_pranav,3103
GM,VladimirKramnik,2992,½ - ½,FM,killer_dreams,2543
IM,whiteglovethief,2661,0 - 1,GM,h4parah5,2946
GM,Jospem,3102,1 - 0,IM,Squirlolz,2512
GM,boo786,2439,0 - 1,GM,Sargsyan_Shant,2970
IM,0gZPanda,3103,1 - 0,FM,JM2005GM,2491
FM,julinha97,2495,0 - 1,GM,jefferyx,3067
GM,Hikaru,3276,1 - 0,FM,Unkreativ3,2601
GM,temiksmozg,2719,0 - 1,GM,MagnusCarlsen,3313
GM,DanielNaroditsky,3049,½ - ½,FM,Dhaydon19,2708
FM,musclemonster12,2547,0 - 1,GM,LyonBeast,3125
GM,Firouzja2003,3188,1 - 0,IM,CarlosjPineror,2726
FM,AlexSuv,2575,0 - 1,GM,GHANDEEVAM2003,3044
FM,ArtemDyachuk,2673,0 - 1,GM,Bigfish1995,3064
IM,cyrdap,2660,0 - 1,GM,Msb2,3112
GM,amintabatabaei,3095,½ - ½,FM,zimmm36,2686
IM,Zavgorodniy_Sergiy,2589,0 - 1,GM,Grischuk,3058
GM,Baku_Boulevard,3136,1 - 0,NM,1g41-0,2627
