white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Bigfish1995,3097,1 - 0,FM,kecalk,2711
FM,GlavkonVVS,2556,1 - 0,GM,DenLaz,3161
GM,Polish_fighter3000,3200,1 - 0,FM,Hananmo,2551
FM,Orest_Vovk,2592,0 - 1,GM,FairChess_on_YouTube,3130
GM,DanielNaroditsky,3083,1 - 0,IM,Ol3ks2,2537
NM,subham777,2661,0 - 1,GM,wonderfultime,3063
GM,viditchess,3013,0 - 1,IM,Pedrada88,2546
FM,Chessdreamer2020,2542,0 - 1,GM,mishanick,3109
GM,AnishOnYoutube,3072,1 - 0,NM,Illustradochess,2497
CM,tomesao,2476,0 - 1,GM,shimastream,3060
GM,Salem-AR,3113,½ - ½,FM,Attacker_2006,2572
CM,Daaksboy,2528,1 - 0,GM,igorkovalenko,2916
GM,lachesisQ,3144,1 - 0,FM,ahmedkandiliii,2721
NM,Agent-JL,2571,0 - 1,GM,BogdanDeac,3072
GM,Jospem,3080,1 - 0,NM,toninhojit,2564
IM,imdvb6307,2444,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,LevonAronian,3088,1 - 0,NM,SipahiPower,2548
FM,arnoldpetra,2619,1 - 0,GM,vi_pranav,3032
GM,Azerichess,3068,1 - 0,NM,harshu27,2466
FM,MeisterJabo,2487,0 - 1,GM,sergoy,3028
IM,KhBegmuratov,2965,1 - 0,FM,WindWhistler11,2530
CM,balack95,2545,0 - 1,GM,Volodar_Murzin,3026
GM,Shankland,2934,1 - 0,FM,Siniauski,2494
IM,annasargsyan_m,2600,0 - 1,GM,Harsha_Bharathakoti,2934
IM,Rud_Makarian,3009,1 - 0,CM,jlf287,2465
FM,Payyappat,2439,0 - 1,GM,gurelediz,3094
GM,DominguezOnYoutube,2976,1 - 0,WIM,joksijoksi,2532
CM,Dexter_Dyke,2486,0 - 1,GM,Sanan_Sjugirov,2994
FM,artin10862,3004,1 - 0,FM,DubiousM0ves532,2504
GM,GMMikhailKazakov,2507,0 - 1,FM,rezamahdavi2008,2948
IM,Szparu,2831,1 - 0,IM,LoaySameer,2703
FM,szachmistrz2500,2552,0 - 1,GM,dropstoneDP,3076
GM,rasmussvane,2952,0 - 1,FM,CristhianPortalR,2482
FM,Yerlan-Ra,2612,0 - 1,GM,abhidabhi,2958
GM,Durarbayli,2931,1 - 0,FM,SHIVACalypso,2532
CM,Zephyr5000,2435,0 - 1,GM,kleinebeer98,2821
IM,Kacparov,2992,1 - 0,FM,x-3704738925,2735
FM,G10De_Arrascaeta,2563,½ - ½,GM,AlexeiShirov,2936
FM,Bauman_Guy,3005,½ - ½,IM,chessllermo,2528
NM,KorolDimitriy75,2482,0 - 1,IM,AlmasRakhmatullaev,2953
GM,Anton_Demchenko,3024,1 - 0,NM,AwareIdea,2585
IM,whiteglovethief,2545,0 - 1,GM,Shield12,2954
IM,kingofthenil,2951,1 - 0,FM,HajiyevKanan,2599
FM,Dubs123,2555,0 - 1,GM,jcibarra,2950
GM,Dedic8,2936,1 - 0,IM,dey2580,2547
GM,maximnovik,2661,0 - 1,GM,starworld123,2977
GM,TigrVShlyape,2868,1 - 0,IM,GMAneta,2563
CM,Gryffindorac8,2460,0 - 1,GM,Jakhongir-Vakhidov,2940
GM,mitrabhaa,2964,1 - 0,CM,FerAsensio2024,2573
IM,IndianSchoolOfSuffering,2464,0 - 1,IM,Talibovv06,2872
GM,FGHSMN,2914,1 - 0,CM,kacperkarwowski,2601
FM,sjoerd893,2459,0 - 1,GM,bancsoo,3003
GM,moro182,2888,1 - 0,CM,YessssssDoooooThat,2573
CM,Ferreret64,2513,0 - 1,GM,Illingworth,2905
GM,Zhigalko_Sergei,2974,1 - 0,GM,Mikhail_Golubev,2724
CM,HedwigTheHowl,2654,0 - 1,IM,Keranke,3000
GM,FXDon77,2927,0 - 1,FM,DeArron_Fox,2675
NM,Flaccidmoves,2394,0 - 1,CM,stollenmonster,2924
IM,Rsnr,2945,1 - 0,CM,BashiqChess,2397
IM,vladoboch,2578,0 - 1,GM,vladislavkovalev,2826
GM,onyshchuk_v,2972,1 - 0,GM,Zq1,2472
CM,Brahianzevich,2362,½ - ½,GM,kpio91,2771
GM,JSPrepz,2884,0 - 1,WGM,JosefineHeinemann,2445
FM,lagunanivaria,2617,0 - 1,GM,Vladimir_Zakhartsov,2900
GM,Kiborg95,2839,1 - 0,CM,novocane,2334
NM,FollowRivers,2460,½ - ½,GM,Aygehovit1992,2769
GM,ckgchess,2940,1 - 0,GM,kuchma777,2553
CM,andrzej,2415,0 - 1,IM,mbojan,2902
GM,HVillagra,2994,1 - 0,CM,Fernando_Offermann,2416
FM,DontMessWithTheFish,2703,0 - 1,IM,Aradhya2000,2774
IM,RobertoJBM,2868,1 - 0,IM,AttilaTurzo,2537
IM,PapiPapita,2586,0 - 1,IM,IlyaGrigorjev,2866
IM,Mops_2004,2826,1 - 0,FM,wild3000,2508
FM,PositionalPanther,2537,0 - 1,NM,Abund,2750
IM,Kirill_Klukin,2927,1 - 0,FM,db-banana,2536
NM,AktilekAskarovich,2410,0 - 1,IM,scarabee43,2945
GM,Mikhail_Bryakin,2886,1 - 0,NM,TheoSlade,2484
FM,BrokenFritz,2548,0 - 1,IM,jakopogi,2823
IM,Seochesspie,2914,1 - 0,FM,Masterbeaterr,2507
FM,Aisen1011,2282,0 - 1,GM,grzechu96,2785
GM,Grandmaster1369,2653,1 - 0,IM,Balla_Tamas,2646
FM,MattyDPerrine,2596,0 - 1,GM,alexrustemov,2879
FM,bascheyaro,2818,1 - 0,NM,ploxoi,2475
CM,AjedrezInteligente,2427,0 - 1,GM,chessfatbear,2859
GM,sokidze,2995,1 - 0,IM,Levanzovsky,2580
WGM,Oligan22,2455,0 - 1,IM,vasblesk,2805
