white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3324,1 - 0,FM,Kostya0705,2518
FM,Muracle,2667,0 - 1,GM,MagnusCarlsen,3256
GM,FabianoCaruana,3166,1 - 0,CM,RantomOpening,2686
WGM,savitha1030,2594,0 - 1,GM,Firouzja2003,3199
GM,Duhless,3103,1 - 0,IM,Vesper2018,2669
WGM,DishonorOnYourCow,2527,0 - 1,GM,Polish_fighter3000,3200
GM,DenLaz,3161,1 - 0,FM,Schattman,2499
CM,Capablanca_Oujda_2021,2376,0 - 1,GM,rpragchess,3181
GM,mishanick,3099,1 - 0,GM,maximnovik,2661
CM,GrotBchess,2650,0 - 1,GM,Oleksandr_Bortnyk,3068
GM,shimastream,3060,0 - 1,WFM,Zarinur,2592
NM,ChadBiryani,2483,0 - 1,GM,LiemLe,3132
GM,LevonAronian,3088,1 - 0,FM,YouShallNotPass001,2515
FM,Alexei_Gubajdullin,2682,0 - 1,GM,Indianlad,2987
GM,h4parah5,2990,1 - 0,WFM,Shushik,2536
FM,Oliver_Wartiovaara,2657,0 - 1,GM,Jospem,3080
GM,TRadjabov,3142,1 - 0,FM,Likvidator228,2599
CM,Shuvalov,2689,0 - 1,GM,artooon,3064
GM,fireheart92,3086,1 - 0,GM,yaguigor,2718
FM,Ramosha,2702,0 - 1,IM,MITerryble,3075
GM,penguingm1,2974,1 - 0,FM,nickmatta,2549
FM,Lovetov,2613,0 - 1,GM,GOGIEFF,3056
GM,SpeedofLight0,3069,1 - 0,FM,djano,2679
WFM,hongnhung1234,2551,0 - 1,GM,Sanan_Sjugirov,2994
GM,ChristopherYoo,3068,0 - 1,IM,Journey_to_GrandMaster_YT,2690
FM,Truequitos,2618,0 - 1,GM,OparinGrigoriy,3035
IM,Rud_Makarian,3009,1 - 0,CM,Dexter_Dyke,2486
FM,VacheH009,2668,½ - ½,FM,artin10862,3004
GM,Denis_Makhnyov,2988,1 - 0,FM,CristhianPortalR,2482
FM,SHIVACalypso,2532,0 - 1,GM,GHANDEEVAM2003,3174
GM,DominguezOnYoutube,2976,1 - 0,WGM,SayonaraPonytail,2595
IM,CarlssonLudvig,2674,1 - 0,GM,sergoy,3026
GM,vugarrasulov,3010,0 - 1,IM,Djager97,2542
GM,Zq1,2472,½ - ½,GM,kleinebeer98,2821
GM,TigrVShlyape,2868,1 - 0,IM,BigAl,2555
FM,TimGrutter03,2683,0 - 1,GM,dropstoneDP,3076
FM,snowlord,2931,1 - 0,IM,chessllermo,2528
NM,BM223344,2630,0 - 1,GM,Durarbayli,2931
IM,kingofthenil,2951,1 - 0,FM,DeArron_Fox,2675
FM,RealJerusalem,2436,1 - 0,IM,AlmasRakhmatullaev,2953
GM,PSvidler,2863,1 - 0,FM,AllCer7,2810
IM,Balla_Tamas,2646,0 - 1,GM,Sam_ChessMood,2987
IM,klimkoj,2879,1 - 0,FM,Golubovsky,2577
NM,Train_Your_Dragon,2479,0 - 1,GM,Nitzan_Steinberg,2895
GM,igorkovalenko,2916,1 - 0,CM,komogro,2527
IM,Barmen_EV,2615,0 - 1,GM,Kiborg95,2839
