white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
NM,b_6,2572,0 - 1,GM,MagnusCarlsen,3256
GM,Firouzja2003,3199,1 - 0,FM,biostatistician,2656
FM,Caracal3000,2531,0 - 1,GM,Hikaru,3324
GM,DenLaz,3161,1 - 0,FM,RustumPalov,2534
CM,ArmanGhevondyanchess,2608,1 - 0,GM,nihalsarin,3124
GM,FairChess_on_YouTube,3130,1 - 0,GM,Mikhail_Golubev,2724
FM,SmirnovAlexandrA,2543,0 - 1,GM,Javokhir_Sindarov05,3169
GM,artooon,3064,0 - 1,FM,Truequitos,2618
NM,WanderingPuppet,2580,0 - 1,GM,OparinGrigoriy,3035
GM,rpragchess,3181,½ - ½,FM,Aryan_Tamadon,2620
FM,Diaschess88,2419,0 - 1,GM,BogdanDeac,3029
GM,jefferyx,2999,1 - 0,FM,Schachkatze2000,2560
FM,TheKingDoctor,2590,0 - 1,GM,Antipov_Mikhail_Al,3024
GM,FabianoCaruana,3166,1 - 0,IM,AleksanderHnydiuk,2529
CM,siiiiii1,2573,0 - 1,GM,DanielNaroditsky,3083
GM,GMBenjaminBok,3094,1 - 0,NM,Mattheii,2531
FM,CrimeFightingSpider07,2614,0 - 1,GM,Msb2,3016
GM,frederiksvane,2980,0 - 1,CM,NeonNinja73,2592
FM,isla88,2558,0 - 1,GM,mishanick,3109
GM,lachesisQ,3144,1 - 0,CM,Cocosiukas,2615
NM,Elfangm2,2546,0 - 1,GM,LiemLe,3132
GM,Oleksandr_Bortnyk,3095,1 - 0,FM,whitemirrorninja,2548
IM,santosalberto1987,2545,0 - 1,GM,penguingm1,2974
GM,Volodar_Murzin,3026,1 - 0,FM,Michal_Fiedorek,2560
FM,A4RookA3,2550,0 - 1,GM,Jospem,3080
GM,Shankland,2934,1 - 0,FM,AjedrezconPeter,2579
IM,ural58,2519,0 - 1,GM,wonderfultime,3063
GM,dropstoneDP,3076,1 - 0,WFM,kuzol,2579
WCM,DudkinaU2010,2568,0 - 1,GM,Andreikka,3033
GM,platy3,2964,1 - 0,NM,LSChess,2530
FM,TimGrutter03,2683,0 - 1,GM,jcibarra,2909
IM,Kacparov,2992,1 - 0,FM,Zashibeatles,2549
FM,valik3504,2732,0 - 1,GM,igorkovalenko,2916
GM,rasmussvane,2952,1 - 0,FM,AnkitGajwa,2642
NM,Sophist4Life,2490,0 - 1,GM,FGHSMN,2914
GM,DrVelja,3001,1 - 0,FM,WPWPWP-2015,2506
FM,SHIVACalypso,2532,0 - 1,GM,MetiForce,2971
GM,Angry_Twin,2995,1 - 0,CM,aanshnerurkar,2578
FM,FlemingA,2570,0 - 1,GM,shimastream,3060
GM,KuybokarovTemur,3040,0 - 1,IM,darkangel1970,2247
IM,diskeleven,2461,0 - 1,IM,Rud_Makarian,3009
GM,Zhigalko_Sergei,2974,1 - 0,FM,nicolochessit,2547
IM,chessllermo,2528,1 - 0,FM,artin10862,3004
GM,alexrustemov,2879,1 - 0,NM,ZachHKL,2498
GM,skzt,2538,1 - 0,IM,tsaruk_maks,2926
GM,HVillagra,2994,1 - 0,CM,EgorYakovlev,2497
GM,kuchma777,2553,0 - 1,GM,Harsha_Bharathakoti,2934
IM,Kezin_Roman,2945,1 - 0,NM,Kielinkei,2570
FM,Rozhkov_V,2487,0 - 1,GM,Sanan_Sjugirov,2994
IM,Kosak12,2915,1 - 0,IM,BigAl,2555
CM,FM-DavidsonR,2512,1 - 0,FM,snowlord,2931
GM,Sychev_on_YouTube,2876,1 - 0,FM,WindWhistler11,2530
NM,N_Mullodzhanov,2627,½ - ½,GM,moro182,2888
GM,Binary010,2873,1 - 0,FM,littlepinkyboy,2511
WIM,secretsuperstar7,2492,0 - 1,IM,Rsnr,2945
