white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
CM,vovachesss,2810,0 - 1,GM,SantoBlue,2966
IM,Zohid6,2958,1 - 0,FM,only_strong_moves,2756
IM,Rsnr,2968,0 - 1,IM,GothamChess,2835
GM,GMAkobianSTL,2826,1 - 0,GM,Fandorine,2924
GM,Angry_Twin,2977,1 - 0,IM,Boundless_Strike,2602
GM,Hikaru,3276,0 - 1,GM,GOGIEFF,3030
GM,Oleksandr_Bortnyk,3111,1 - 0,GM,SantoBlue,2966
GM,tptagain,2995,1 - 0,IM,Zohid6,2958
GM,Angry_Twin,2977,0 - 1,GM,wonderfultime,3083
GM,Grischuk,3058,0 - 1,GM,DanielNaroditsky,3049
GM,gmcorrales,2931,0 - 1,GM,Andreikka,3052
GM,sergiochess83,2974,½ - ½,GM,GMBenjaminBok,3076
GM,gurelediz,3053,½ - ½,GM,Grandelicious,2961
GM,FXDon77,2915,0 - 1,GM,shimastream,3025
GM,bardiya_Daneshvar,3032,1 - 0,GM,mitrabhaa,2938
IM,MITerryble,3011,0 - 1,GM,OparinGrigoriy,3086
IM,GothamChess,2835,0 - 1,IM,Rud_Makarian,3013
GM,GMAkobianSTL,2826,0 - 1,GM,LevonAronian,3039
GM,onyshchuk_v,2881,1 - 0,NM,chenrip,2443
GM,BogdanDeac,3106,1 - 0,FM,Kolle05,2549
GM,kleinebeer98,2901,0 - 1,GM,Msb2,3112
IM,scarabee43,2909,0 - 1,GM,dropstoneDP,3019
GM,amintabatabaei,3095,1 - 0,GM,sokidze,2917
GM,jefferyx,3067,1 - 0,FM,Eagle_2019,2902
IM,AlmasRakhmatullaev,2882,1 - 0,GM,ChristopherYoo,3007
GM,Duhless,3105,1 - 0,IM,Eduard_Limonov,2888
FM,carokannlover213,2850,0 - 1,GM,LastGladiator1,3022
GM,xiaotong2008,3000,½ - ½,FM,wqws,2876
GM,h4parah5,2946,0 - 1,GM,Byniolus,2842
GM,ColErranMorad,2840,0 - 1,GM,rasmussvane,2941
IM,Rud_Makarian,3013,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,LevonAronian,3039,1 - 0,GM,tptagain,2995
GM,wonderfultime,3083,0 - 1,GM,GOGIEFF,3030
GM,OparinGrigoriy,3086,1 - 0,GM,Andreikka,3052
GM,shimastream,3025,0 - 1,GM,DanielNaroditsky,3049
GM,onyshchuk_v,2881,0 - 1,GM,bardiya_Daneshvar,3032
GM,LastGladiator1,3022,1 - 0,GM,BogdanDeac,3106
GM,Msb2,3112,1 - 0,GM,sergiochess83,2974
GM,rasmussvane,2941,½ - ½,GM,dropstoneDP,3019
GM,Grandelicious,2961,1 - 0,GM,amintabatabaei,3095
GM,GMBenjaminBok,3076,1 - 0,IM,MyDream003,2943
GM,FGHSMN,2897,0 - 1,GM,gurelediz,3053
GM,jefferyx,3067,1 - 0,IM,AlmasRakhmatullaev,2882
GM,Hikaru,3276,1 - 0,GM,Duhless,3105
