white_rank,white_username,white_elo,result,black_rank,black_username,black_elo
GM,Hikaru,3276,1 - 0,FM,Marasmus01,2490
FM,akretchetov,2466,0 - 1,GM,Firouzja2003,3188
GM,Njal28,3041,1 - 0,IM,AleksanderHnydiuk,2523
IM,Battever,2566,0 - 1,GM,dropstoneDP,3016
GM,Polish_fighter3000,3057,1 - 0,FM,Hananmo,2535
GM,fyall777,2485,0 - 1,GM,Msb2,3112
GM,nihalsarin,3211,1 - 0,FM,Giorno,2479
FM,jup1978,2419,0 - 1,GM,FabianoCaruana,3101
GM,GM_dmitrij,3002,1 - 0,FM,Defend1r,2641
FM,Lion_DL,2464,0 - 1,GM,FairChess_on_YouTube,3064
GM,Jospem,3102,1 - 0,CM,maksimys18,2505
FM,only_strong_moves,2756,½ - ½,GM,SpeedofLight0,3111
GM,mishanick,3038,1 - 0,CM,tgpgoat,2558
FM,JG-17,2602,0 - 1,GM,Oleksandr_Bortnyk,3111
GM,Grischuk,3058,1 - 0,IM,santosalberto1987,2505
FM,Orest_Vovk,2521,0 - 1,GM,Krakozia,2940
GM,sergoy,2956,1 - 0,IM,ural58,2512
NM,Biregina,2472,0 - 1,GM,Beca95,2990
GM,OparinGrigoriy,3086,1 - 0,FM,Marcin,2550
FM,venturov,2481,0 - 1,GM,rasmussvane,2941
GM,ChristopherYoo,3007,1 - 0,FM,Leebit02,2661
FM,WPWPWP-2015,2596,0 - 1,GM,GMBenjaminBok,3076
GM,BillieKimbah,2938,½ - ½,FM,arminmusovic,2561
IM,whiteglovethief,2661,0 - 1,GM,Hrant_ChessMood,2963
IM,Rud_Makarian,3004,1 - 0,FM,scandalgod,2672
FM,ozates,2635,0 - 1,GM,Hikaru,3276
GM,Firouzja2003,3188,1 - 0,FM,SaqoChess_Coach,2619
FM,Hilary46,2627,0 - 1,GM,Njal28,3041
GM,dropstoneDP,3016,1 - 0,GM,Malev212,2604
IM,jsdbv18,2626,0 - 1,GM,Polish_fighter3000,3057
GM,Msb2,3112,1 - 0,FM,biostatistician,2568
FM,louis198,2648,0 - 1,GM,nihalsarin,3211
GM,FabianoCaruana,3101,1 - 0,IM,HamedWafa4,2759
FM,Gameking51,2563,0 - 1,GM,GM_dmitrij,3002
GM,FairChess_on_YouTube,3064,1 - 0,FM,HalfIsCrayfish,2640
GM,Ermito2020,2607,0 - 1,GM,Jospem,3102
GM,Mikhail_Golubev,2598,0 - 1,GM,mishanick,3038
GM,Oleksandr_Bortnyk,3111,1 - 0,IM,Macron20hTF1,2564
FM,jerry_77,2626,0 - 1,GM,Grischuk,3058
GM,Krakozia,2940,1 - 0,IM,aa175,2943
FM,chessisveryfun1264,2717,0 - 1,GM,sergoy,2956
GM,Beca95,2990,1 - 0,IM,ValeriyGrinev,2651
IM,LeninGuerra,2555,0 - 1,GM,OparinGrigoriy,3086
GM,rasmussvane,2941,1 - 0,CM,filipluczak05,2669
FM,Nf3c5,2629,0 - 1,GM,ChristopherYoo,3007
GM,GMBenjaminBok,3076,1 - 0,IM,RichardLeyvaP,2657
GM,Hrant_ChessMood,2963,1 - 0,CM,Deeper44,2536
IM,bazar-wokzal,2640,0 - 1,IM,Rud_Makarian,3004
GM,TigrVShlyape,2866,1 - 0,FM,MKlose11,2677
FM,DefiantChair,2589,0 - 1,GM,vugarrasulov,2933
GM,Hikaru,3276,1 - 0,IM,Kosak12,2882
NM,Abund,2734,1 - 0,GM,Firouzja2003,3188
GM,Njal28,3041,1 - 0,FM,Alexei_Gubajdullin,2740
GM,Byniolus,2842,½ - ½,GM,dropstoneDP,3016
GM,Polish_fighter3000,3057,1 - 0,IM,GaiozNigalidze,2758
IM,I_am_Javi,2739,0 - 1,GM,Msb2,3112
GM,nihalsarin,3211,1 - 0,FM,carokannlover213,2850
IM,Nor1lsk,2841,0 - 1,GM,FabianoCaruana,3101
GM,GM_dmitrij,3002,1 - 0,IM,chessajedrezz2020,2653
FM,BeanScreen,2678,1 - 0,GM,FairChess_on_YouTube,3064
GM,Jospem,3102,1 - 0,IM,Rutricks,2697
GM,mishanick,3038,0 - 1,IM,Zurability,2706
FM,Ali_rastbod,2730,1 - 0,GM,Oleksandr_Bortnyk,3111
GM,Grischuk,3058,½ - ½,FM,jimis98,2633
IM,dedpihto_v_kozhanom_palto,2743,1 - 0,GM,Krakozia,2940
GM,sergoy,2956,1 - 0,IM,Kirill_Klukin,2914
FM,GoltsevDmitry2000,2802,½ - ½,GM,Beca95,2990
GM,OparinGrigoriy,3086,1 - 0,FM,djano,2622
FM,ArtemDyachuk,2673,½ - ½,GM,rasmussvane,2941
GM,ChristopherYoo,3007,1 - 0,NM,RETURNOFTHELAGGER,2678
GM,Evandro_Barbosa,2710,0 - 1,GM,GMBenjaminBok,3076
WGM,Sanyura,2607,0 - 1,GM,Hrant_ChessMood,2963
IM,Rud_Makarian,3004,1 - 0,IM,jk13,2665
FM,DucksParadise,2624,0 - 1,GM,TigrVShlyape,2866
