Centrality Metric,Spearmans R Statistic,P-Value
Out-Degree Centrality,0.8988013511642958,2.352778973722157e-273
Closeness Centrality,-0.2454008679433739,7.144947903481513e-12
Betweenness Centrality,0.334598385979988,2.604571406619946e-21
PageRank Centrality,0.8249218758126309,9.767760075653064e-190
CON Score,0.7207477092942524,1.3572682593048953e-122
