,Model,Accuracy,Precision,Recall,F1-Score
0,GradientBoostingClassifier,0.7280701754385965,0.6845755870146114,0.6585497835497836,0.6663381254243658
1,DecisionTreeClassifier,0.6622807017543859,0.6074561403508771,0.5663216991341992,0.5781538043343959
2,RandomForestClassifier,0.75,0.7045365195519994,0.6966314935064934,0.7000445425356802
3,SupportVectorClassifier-LINEAR,0.8157894736842105,0.7798858067706694,0.8072240259740261,0.7879625201480772
4,XGBClassifier,0.75,0.7127799736495387,0.6949066558441558,0.7015466473670808
