date,player,1st_order_CON_score,2nd_order_CON_score,full_CON_score,pagerank,closeness,in_degree,out_degree,betweenness
2january2024,OparinGrigoriy,11,159,249,0.009810423839114419,0.20125223613595708,6,5,0.02316229452053738
2january2024,iturrizaga,1,49,79,0.005272334897985452,0.16844469399213927,3,1,0.007129473080832166
2january2024,greekplayer1,3,83,112,0.002057785746589078,0.14245014245014245,1,1,0.002361976832374103
2january2024,DeTimmerman,8,121,173,0.0020391817805405815,0.1662203342875612,1,2,0.004334161308410234
2january2024,Lennis93,3,70,102,0.001161018529502756,0.0,0,1,0.0
2january2024,mishanick,13,161,327,0.015589718333146416,0.21600864034561382,9,6,0.036893953844477835
2january2024,rasmussvane,12,252,444,0.011708001303280471,0.2156721782890007,7,8,0.050813654053172085
2january2024,scarabee43,0,0,0,0.003367302396561876,0.19445037986704652,2,0,0.0
2january2024,Mikhail_Bryakin,16,299,428,0.004005215605444292,0.19204096873999787,3,3,0.0161354012633151
2january2024,artooon,13,220,332,0.003595174447256503,0.17200191113234592,3,3,0.009495626108644704
2january2024,Vaathi_Coming,0,0,0,0.004023594483461567,0.1441856575739171,2,0,0.0
2january2024,Szparu,12,211,293,0.005363203910216103,0.19893899204244034,3,3,0.01786417421803137
2january2024,Korchmar_Vasiliy,0,0,0,0.0036809644085614482,0.14448325439037513,2,0,0.0
2january2024,Zhigalko_Sergei,26,313,514,0.013290492638241651,0.17526777020447906,3,5,0.02747264942158747
2january2024,Matibar,12,190,286,0.0023957157104933934,0.1724303094166108,1,4,0.011135150090525897
2january2024,DTChess,3,60,86,0.001161018529502756,0.0,0,1,0.0
2january2024,kikoveiga,0,0,0,0.002147856716445492,0.004273504273504274,1,0,0.0
2january2024,TheCavemanChess,0,0,0,0.0023127054948322927,0.1525101018565071,1,0,0.0
2january2024,WPWPWP-2015,0,0,0,0.0032633451123237956,0.15766247016247018,1,0,0.0
2january2024,SashaKuzhilniy,3,60,86,0.0028602503571143042,0.12082158679017319,1,1,0.0032138912324892297
2january2024,Iskusnyh,8,169,231,0.001161018529502756,0.0,0,1,0.0
2january2024,klimkoj,17,222,335,0.005814568110004248,0.19365250134480907,4,2,0.006897732355804325
2january2024,Pingah9,5,67,102,0.001161018529502756,0.0,0,1,0.0
2january2024,Azerichess,20,292,444,0.009797948289637067,0.20604395604395606,6,5,0.025496383622002648
2january2024,TheBigBoss04,0,0,0,0.002550137109999398,0.1580183673863132,1,0,0.0
2january2024,tptagain,8,119,221,0.010913101753568792,0.20066889632107024,5,3,0.021856481904854185
2january2024,nihalsarin,11,149,269,0.007980857488665411,0.21301775147928997,4,4,0.024102469220494985
2january2024,josmito10,3,88,140,0.001161018529502756,0.0,0,2,0.0
2january2024,Maitreia,2,65,93,0.001161018529502756,0.0,0,1,0.0
2january2024,aghasiyevkamal,0,0,0,0.00282897380705468,0.1611096357931801,1,0,0.0
2january2024,Msb2,14,179,404,0.013074953940081407,0.22153846153846155,7,8,0.06328254172888395
2january2024,chessintuit,8,169,231,0.0023361703886099197,0.1632801161103048,1,1,0.0010365297024810614
2january2024,vugarrasulov,17,293,461,0.006331871752561221,0.1735106998264893,4,6,0.023054519317279958
2january2024,rezamahdavi2008,11,211,313,0.003444639984609617,0.16137708445400753,2,3,0.008427856120989168
2january2024,enestnrvrd,5,63,97,0.0034202078814372988,0.14363230130864987,1,1,0.002480802856339337
2january2024,sakkikuska,0,0,0,0.0034852145589319406,0.17655015574309396,2,0,0.0
2january2024,Axel_Legend,2,36,65,0.001161018529502756,0.0,0,1,0.0
2january2024,ckgchess,17,215,323,0.003963705826933875,0.18863969817648293,2,3,0.010166247147649151
2january2024,Alexander_Donchenko,18,360,525,0.0029706449139048205,0.168240022432003,2,4,0.01120805638935935
2january2024,jcibarra,5,68,120,0.0044468976417111564,0.19124521886952828,3,3,0.008912544576048998
2january2024,Jarming,0,0,0,0.0048342882395630725,0.17478685830745755,3,0,0.0
2january2024,IMRosen,0,0,0,0.0022039826828321725,0.14925828731798882,1,0,0.0
2january2024,the_chess_child,3,35,58,0.002550137109999398,0.15716406181786433,1,1,0.0008513601324760123
2january2024,lucliasco,4,66,111,0.00218612892819668,0.1443811662789765,1,2,0.003805686709835492
2january2024,GMKrikor,4,77,117,0.004174387881043233,0.17842981760507534,2,1,0.005078255739915252
2january2024,Airquake,8,97,150,0.0025281692864538743,0.14259684702527134,1,1,0.0006825089855793057
2january2024,BilodeauA,3,83,112,0.005271813869496614,0.17774266811494027,3,1,0.009181753047990529
2january2024,viktorgen2021,10,208,291,0.001161018529502756,0.0,0,1,0.0
2january2024,santosalberto1987,5,37,73,0.001161018529502756,0.0,0,1,0.0
2january2024,AvitalBor,4,86,120,0.00336940081681422,0.16926838442730863,1,1,0.0016506722941739998
2january2024,Makswolf200817,0,0,0,0.00308554257589605,0.1730584344923035,1,0,0.0
2january2024,Andrey_Klymchuk,2,26,48,0.001161018529502756,0.0,0,1,0.0
2january2024,Vaibhavraut99,4,14,42,0.0024047837796489046,0.16906170752324598,1,2,0.003054861871027822
2january2024,Ranindu2003,7,100,142,0.001161018529502756,0.0,0,1,0.0
2january2024,wadsy27,2,76,106,0.001161018529502756,0.0,0,1,0.0
2january2024,frederiksvane,11,171,259,0.009945635884542586,0.21500238891543239,5,5,0.03383798201006365
2january2024,GM_dmitrij,12,179,299,0.006886083308933567,0.17774266811494027,4,3,0.012514284988698984
2january2024,NovozhilovSemen,0,0,0,0.002826336503499579,0.164131621927636,1,0,0.0
