username,white_wins,black_wins,white_games,black_games,total_wins,total_games,win_proportion_white,win_proportion_black,win_proportion
miragha_yev,2.0,4.0,6.0,6.0,6.0,12.0,0.3333333333333333,0.6666666666666666,0.5
mirciulica14,4.0,3.0,5.0,6.0,7.0,11.0,0.8,0.5,0.6363636363636364
miredenizdogan,1.0,2.0,3.0,4.0,3.0,7.0,0.3333333333333333,0.5,0.42857142857142855
mirochka,2.0,2.0,7.0,7.0,4.0,14.0,0.2857142857142857,0.2857142857142857,0.2857142857142857
mishanick,393.0,318.0,495.0,479.0,711.0,974.0,0.793939393939394,0.6638830897703549,0.7299794661190965
missponyo10,20.0,13.0,36.0,36.0,33.0,72.0,0.5555555555555556,0.3611111111111111,0.4583333333333333
misterlamine,5.0,5.0,16.0,16.0,10.0,32.0,0.3125,0.3125,0.3125
mistrzemi,12.0,15.0,37.0,36.0,27.0,73.0,0.32432432432432434,0.4166666666666667,0.3698630136986301
mitrabhaa,88.0,82.0,138.0,132.0,170.0,270.0,0.6376811594202898,0.6212121212121212,0.6296296296296297
mjelcic,15.0,12.0,56.0,48.0,27.0,104.0,0.26785714285714285,0.25,0.25961538461538464
mjray79,18.0,13.0,30.0,29.0,31.0,59.0,0.6,0.4482758620689655,0.5254237288135594
mkllnd1517,13.0,3.0,23.0,20.0,16.0,43.0,0.5652173913043478,0.15,0.37209302325581395
mmDarko,4.0,8.0,21.0,22.0,12.0,43.0,0.19047619047619047,0.36363636363636365,0.27906976744186046
mmaks007,5.0,5.0,17.0,21.0,10.0,38.0,0.29411764705882354,0.23809523809523808,0.2631578947368421
mohsengabr2002,4.0,2.0,10.0,9.0,6.0,19.0,0.4,0.2222222222222222,0.3157894736842105
moisesanto,8.0,7.0,15.0,18.0,15.0,33.0,0.5333333333333333,0.3888888888888889,0.45454545454545453
mokerslag,4.0,2.0,13.0,13.0,6.0,26.0,0.3076923076923077,0.15384615384615385,0.23076923076923078
