,Model,Accuracy,Precision,Recall,F1-Score
0,GradientBoostingClassifier,0.797752808988764,0.429771955361475,0.3820556614437651,0.37845010615711255
1,DecisionTreeClassifier,0.651685393258427,0.3786312145626247,0.3862222020530394,0.3816661236016075
2,RandomForestClassifier,0.7991573033707865,0.4356388088376561,0.37031444672722924,0.36300823495571155
3,SupportVectorClassifier-LINEAR,0.7991573033707865,0.2663857677902622,0.3333333333333333,0.2961228207129846
4,XGBClassifier,0.7879213483146067,0.43759972540725073,0.35323561822670707,0.3416666666666666
