Centrality Metric,Spearmans R Statistic,P-Value
Out-Degree Centrality,0.46444103225894945,3.610870798107394e-127
Closeness Centrality,-0.35915162203874357,4.1265084598439466e-73
Betweenness Centrality,0.228197669851675,2.1991292620820836e-29
PageRank Centrality,0.6641136853914206,1.4394016380289233e-301
CON Score,0.4112842817709557,1.8671338243327819e-97
